,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,23.61,0.69,0.29,0.3,0.3,0.42,0.66,0.68,0.62,0.68,0.95,0.16,1.0,0.8,0.87,0.55
e_1,0.38,25.22,0.25,0.37,0.31,0.23,0.74,0.88,0.68,1.58,0.79,0.91,1.04,0.84,0.89,0.28
d_1,0.33,0.3,26.98,0.33,0.41,0.27,0.85,1.53,0.65,0.14,0.71,0.78,0.78,0.76,0.88,1.03
c_1,0.35,0.26,0.39,26.12,0.71,0.39,0.78,0.16,0.59,0.78,0.62,0.75,0.9,0.57,1.0,0.81
b_1,0.31,0.29,0.41,0.41,32.16,0.71,0.74,0.76,0.64,0.75,0.19,0.74,0.79,0.83,0.65,0.68
a_1,0.25,0.35,0.34,0.4,0.3,51.56,0.79,0.85,0.91,0.89,0.79,0.83,0.9,0.19,0.65,0.78
h_1,0.86,0.59,0.76,0.52,0.57,0.76,8.98,1.29,1.8,1.27,1.72,1.46,0.55,1.26,2.34,1.42
c_0,0.81,0.6,0.61,0.3,0.53,0.56,1.49,5.53,1.91,1.76,3.81,2.0,1.76,1.71,1.47,1.83
g_1,0.59,0.59,1.04,0.62,0.59,0.54,0.96,1.19,12.51,0.96,1.38,2.33,1.19,1.22,0.44,1.43
d_0,0.72,0.58,0.15,1.36,0.57,0.46,1.65,1.11,1.51,5.66,1.83,1.55,1.37,1.76,2.17,1.92
b_0,0.91,0.7,0.59,0.75,0.15,0.59,1.04,1.54,1.72,1.52,7.44,2.14,1.71,4.37,1.84,1.73
f_0,0.21,0.48,0.73,0.84,0.73,0.73,1.51,1.64,1.5,1.73,1.55,7.57,1.63,2.01,1.66,4.29
h_0,1.21,0.58,0.65,0.67,0.41,0.59,0.31,1.41,2.04,1.46,1.43,1.4,0.62,1.51,1.78,1.17
a_0,0.66,0.51,1.11,0.69,0.52,0.27,1.34,1.39,1.14,1.76,1.3,1.92,2.12,8.39,1.44,1.89
g_0,0.48,0.58,1.13,0.6,0.64,0.52,1.29,1.4,0.67,1.47,1.36,2.87,1.52,1.29,0.65,1.48
e_0,0.75,0.2,0.83,0.76,0.84,0.76,1.18,2.16,1.09,1.73,1.36,2.08,1.75,0.96,1.5,9.61
