,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.43,0.57,1.0,0.98,0.93,0.88,0.28,0.27,0.21,0.18,0.19,0.23,0.14,0.15,0.18,0.24
f_1,0.84,0.42,0.9,0.93,0.9,0.78,0.21,0.28,0.18,0.19,0.19,0.24,0.09,0.14,0.17,0.17
d_1,1.09,1.03,0.4,0.91,0.93,0.85,0.27,0.18,0.28,0.19,0.18,0.17,0.14,0.09,0.19,0.17
c_1,0.8,0.95,1.24,0.4,0.91,0.82,0.27,0.29,0.13,0.25,0.2,0.2,0.15,0.13,0.16,0.17
b_1,1.0,1.19,1.08,0.63,0.38,0.95,0.32,0.32,0.22,0.26,0.26,0.22,0.16,0.16,0.2,0.21
a_1,1.35,1.6,1.29,1.09,0.73,0.32,0.38,0.35,0.3,0.28,0.28,0.22,0.19,0.21,0.31,0.23
h_1,1.64,1.69,1.64,1.76,1.69,1.42,0.28,0.5,0.36,0.32,0.32,0.35,0.29,0.24,0.33,0.28
g_1,1.95,2.05,1.74,1.93,2.06,1.74,0.46,0.27,0.46,0.41,0.39,0.37,0.23,0.31,0.43,0.37
d_0,1.26,1.73,2.69,1.94,1.97,1.85,0.64,0.7,0.31,0.43,0.47,0.45,0.3,0.32,0.37,0.41
c_0,2.23,2.26,1.25,2.75,1.78,2.16,0.65,0.55,0.57,0.29,0.48,0.39,0.32,0.28,0.38,0.4
b_0,2.28,2.18,1.62,3.07,2.84,2.06,0.63,0.59,0.5,0.27,0.29,0.44,0.33,0.3,0.38,0.41
f_0,2.13,2.7,1.87,2.34,2.28,2.0,0.56,0.4,0.52,0.42,0.47,0.26,0.33,0.23,0.45,0.39
h_0,2.52,2.57,2.3,2.18,2.19,1.99,0.91,0.67,0.49,0.5,0.44,0.46,0.42,0.33,0.41,0.45
g_0,2.8,2.91,2.55,2.52,2.64,2.4,0.57,0.83,0.6,0.5,0.47,0.46,0.33,0.39,0.57,0.45
a_0,2.79,2.66,2.45,2.57,3.53,2.96,0.76,0.67,0.61,0.49,0.3,0.46,0.42,0.37,0.26,0.48
e_0,3.25,3.22,2.42,2.86,2.49,2.15,0.7,0.61,0.55,0.54,0.54,0.33,0.42,0.34,0.55,0.26
