,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.43,1.21,1.37,1.07,1.16,1.08,2.56,2.15,4.15,1.96,3.26,2.78,3.14,3.16,2.95,3.23
e_1,1.04,2.45,1.12,1.46,1.34,1.27,2.41,2.35,2.52,4.3,2.65,3.18,3.64,3.18,1.78,3.43
f_1,1.12,1.88,2.48,1.27,1.18,0.98,1.81,2.37,2.48,2.47,2.69,1.85,3.1,2.33,2.05,2.48
c_1,1.33,1.09,1.16,2.67,1.94,1.23,2.38,2.04,1.49,2.16,2.01,2.7,3.05,2.18,2.05,3.36
b_1,1.32,1.07,1.26,1.02,2.82,2.23,2.59,2.33,2.47,2.34,1.97,2.56,2.69,2.02,3.34,3.53
a_1,1.41,1.24,1.42,1.21,0.84,3.31,2.42,2.64,2.53,3.12,2.76,2.86,4.54,2.28,3.19,3.6
h_1,1.31,1.22,1.8,1.42,1.34,1.32,3.99,3.29,2.84,2.9,2.93,2.69,2.88,2.36,3.07,4.6
g_1,1.88,1.15,0.93,1.49,1.32,1.28,2.14,4.46,2.91,2.35,2.81,3.92,3.29,3.33,3.63,2.95
c_0,1.32,1.45,1.35,1.11,1.26,1.39,2.5,2.73,3.98,3.35,4.8,3.06,3.95,3.44,3.25,3.65
d_0,0.93,1.17,1.41,2.43,1.31,1.23,2.69,2.95,2.28,4.08,2.54,2.99,3.74,2.88,3.35,4.02
b_0,1.44,1.4,1.43,1.37,0.98,1.09,2.81,2.71,2.72,3.08,4.26,2.85,4.72,5.78,2.95,4.09
f_0,1.46,1.01,1.12,1.34,1.36,1.69,2.94,2.77,3.16,2.99,3.1,4.36,4.58,3.11,5.93,3.35
h_0,1.53,1.3,1.83,1.46,1.46,0.96,1.99,3.11,2.94,2.75,2.16,2.41,2.87,3.15,2.3,4.35
a_0,1.47,1.34,1.44,1.57,1.33,0.95,3.15,2.75,3.1,3.14,2.57,3.17,4.0,4.77,2.95,3.25
e_0,1.47,1.05,1.63,1.61,1.24,1.3,3.07,2.47,2.93,2.7,3.12,2.49,4.74,3.29,4.96,3.88
g_0,1.9,1.09,1.43,1.26,1.13,1.18,2.34,2.35,3.17,2.6,2.68,4.28,3.34,3.55,2.94,3.48
