,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.41,0.74,0.71,0.64,0.65,0.66,0.33,0.26,0.31,0.35,0.31,0.28,0.31,0.25,0.28,0.18
f_1,0.61,0.41,0.73,0.68,0.68,0.6,0.29,0.4,0.31,0.32,0.3,0.37,0.3,0.21,0.29,0.27
e_1,0.67,0.48,0.39,0.84,0.69,0.67,0.38,0.38,0.28,0.36,0.34,0.36,0.31,0.26,0.38,0.28
c_1,0.8,0.74,0.53,0.38,0.74,0.62,0.38,0.39,0.34,0.18,0.24,0.3,0.26,0.25,0.28,0.26
b_1,0.76,0.69,0.64,0.45,0.35,0.72,0.42,0.42,0.38,0.3,0.39,0.32,0.3,0.29,0.27,0.28
a_1,0.69,0.8,0.71,0.62,0.4,0.3,0.45,0.4,0.36,0.31,0.37,0.33,0.37,0.29,0.35,0.33
h_1,0.6,0.68,0.63,0.62,0.63,0.52,0.24,0.35,0.3,0.29,0.3,0.27,0.28,0.29,0.29,0.25
g_1,0.72,0.63,0.65,0.6,0.57,0.58,0.28,0.22,0.27,0.28,0.29,0.29,0.28,0.19,0.29,0.25
c_0,0.44,0.66,0.68,0.97,0.66,0.67,0.33,0.38,0.23,0.46,0.34,0.27,0.31,0.25,0.29,0.23
d_0,0.77,0.57,0.44,0.79,0.65,0.62,0.34,0.39,0.27,0.23,0.3,0.31,0.34,0.26,0.3,0.24
b_0,0.51,0.68,0.58,0.9,0.83,0.58,0.3,0.31,0.19,0.33,0.22,0.27,0.33,0.25,0.27,0.23
f_0,0.61,0.76,0.62,0.67,0.7,0.54,0.33,0.24,0.28,0.3,0.26,0.21,0.28,0.24,0.33,0.19
a_0,0.56,0.6,0.61,0.73,0.74,0.74,0.36,0.3,0.24,0.3,0.19,0.29,0.2,0.25,0.29,0.26
h_0,0.57,0.67,0.62,0.62,0.6,0.59,0.37,0.33,0.3,0.28,0.27,0.28,0.25,0.28,0.24,0.25
e_0,0.62,0.91,0.68,0.65,0.66,0.52,0.32,0.27,0.27,0.3,0.3,0.16,0.28,0.27,0.18,0.2
g_0,0.68,0.65,0.65,0.6,0.62,0.54,0.27,0.36,0.31,0.32,0.28,0.27,0.28,0.22,0.28,0.27
