,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.93,0.07,0.1,0.08,0.09,0.06,0.06,0.06,0.12,0.08,0.06,0.06,0.05,0.04,0.06,
f_1,0.2,0.93,0.1,0.09,0.08,0.08,0.06,0.05,0.07,0.06,0.06,,0.06,0.05,0.04,0.04
d_1,0.12,0.11,0.93,0.1,0.08,0.07,0.08,0.06,,0.11,0.05,0.06,0.07,0.04,0.05,0.03
c_1,0.11,0.1,0.1,0.93,0.16,0.06,0.09,0.07,0.07,,0.05,0.06,0.07,0.05,0.04,0.04
b_1,0.12,0.14,0.11,0.07,0.93,0.11,0.08,0.08,0.06,0.07,,0.09,0.05,0.04,0.04,0.04
a_1,0.14,0.11,0.11,0.13,0.09,0.93,0.09,0.07,0.08,0.08,0.06,0.09,0.08,,,
h_1,0.31,0.43,0.27,0.26,0.2,0.13,0.71,0.23,0.22,0.17,0.16,0.14,,0.12,0.13,0.12
g_1,0.29,0.35,0.4,0.26,0.21,0.22,0.22,0.71,0.15,0.14,0.19,0.22,0.19,0.12,,0.1
d_0,0.28,0.34,,0.56,0.37,0.23,0.22,0.18,0.58,0.21,0.2,0.16,0.23,0.18,0.18,0.13
c_0,0.35,0.41,0.29,,0.27,0.2,0.27,0.23,0.26,0.58,0.32,0.12,0.23,0.11,0.22,0.15
b_0,0.42,0.37,0.35,0.38,,0.19,0.33,0.23,0.2,0.18,0.57,0.24,0.22,0.28,0.14,0.14
f_0,0.35,,0.39,0.39,0.22,0.21,0.23,0.2,0.31,0.31,0.2,0.6,0.23,0.14,0.13,0.23
h_0,0.55,0.68,0.46,0.4,0.46,0.23,,0.33,0.26,0.28,0.26,0.25,,0.18,0.36,0.17
a_0,0.49,0.42,0.33,0.43,0.33,,0.23,0.25,0.3,0.31,0.16,0.25,0.21,0.58,0.23,
g_0,0.36,0.69,0.68,0.55,0.38,,0.33,,0.27,0.25,0.36,0.38,0.28,0.18,,0.23
e_0,,0.4,0.37,0.45,0.37,,0.33,0.24,0.36,0.27,0.29,0.22,0.25,,0.21,0.56
