,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.4,0.42,0.7,0.58,0.62,0.57,0.34,0.34,0.27,0.34,0.3,0.33,0.24,0.28,0.32,0.26
f_1,0.68,0.39,0.6,0.59,0.52,0.53,0.26,0.28,0.25,0.36,0.27,0.28,0.18,0.25,0.21,0.25
c_1,0.48,0.63,0.39,0.67,0.74,0.54,0.3,0.19,0.28,0.3,0.23,0.25,0.22,0.26,0.26,0.23
d_1,0.67,0.59,0.61,0.39,0.57,0.54,0.3,0.32,0.28,0.22,0.28,0.26,0.22,0.26,0.26,0.17
b_1,0.59,0.73,0.39,0.58,0.36,0.81,0.34,0.27,0.38,0.34,0.32,0.26,0.23,0.24,0.27,0.22
a_1,0.61,0.64,0.6,0.61,0.36,0.31,0.39,0.31,0.27,0.35,0.32,0.31,0.27,0.3,0.29,0.24
h_1,0.53,0.62,0.62,0.55,0.51,0.5,0.23,0.26,0.24,0.34,0.26,0.24,0.24,0.25,0.23,0.22
d_0,0.39,0.57,0.66,0.65,0.63,0.55,0.33,0.22,0.24,0.32,0.26,0.26,0.25,0.24,0.27,0.26
c_0,0.57,0.58,0.72,0.41,0.52,0.57,0.33,0.35,0.23,0.29,0.3,0.27,0.25,0.28,0.26,0.21
g_1,0.55,0.54,0.6,0.59,0.54,0.52,0.26,0.28,0.27,0.21,0.27,0.28,0.19,0.22,0.24,0.21
b_0,0.52,0.55,0.78,0.49,0.66,0.47,0.31,0.28,0.16,0.31,0.21,0.25,0.23,0.28,0.23,0.21
f_0,0.5,0.72,0.57,0.54,0.56,0.51,0.32,0.26,0.28,0.22,0.27,0.2,0.24,0.24,0.28,0.16
h_0,0.58,0.61,0.57,0.55,0.56,0.48,0.32,0.25,0.23,0.31,0.24,0.24,0.23,0.22,0.23,0.22
a_0,0.5,0.56,0.55,0.62,0.74,0.69,0.31,0.26,0.21,0.31,0.17,0.26,0.21,0.18,0.22,0.18
e_0,0.55,0.73,0.54,0.51,0.57,0.48,0.28,0.25,0.23,0.29,0.27,0.16,0.22,0.27,0.18,0.2
g_0,0.53,0.58,0.54,0.63,0.55,0.57,0.25,0.25,0.24,0.34,0.25,0.28,0.18,0.24,0.25,0.22
