,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.32,1.09,1.32,1.59,3.2,16.82,32.43,34.54,33.74,37.94,44.0,76.31,104.89,125.98,112.77
e_1,0.76,1.0,1.08,1.4,1.57,3.51,19.52,44.57,32.96,31.67,40.61,55.36,85.03,85.85,135.99,149.13
d_1,0.93,0.91,1.0,0.95,1.42,3.04,16.21,27.01,22.53,41.93,33.48,37.98,65.48,89.54,81.89,111.54
c_1,0.76,0.71,1.06,1.0,1.64,2.62,14.56,15.57,26.96,20.81,25.9,36.51,64.05,75.72,81.71,83.72
b_1,0.63,0.64,0.7,0.61,1.0,3.9,13.78,18.75,20.32,22.93,24.43,27.27,45.53,51.05,80.23,73.54
a_1,0.31,0.28,0.32,0.37,0.26,1.0,7.65,8.12,11.29,8.25,13.75,11.41,26.48,27.32,29.8,33.26
h_1,0.06,0.05,0.06,0.07,0.07,0.14,1.0,1.3,1.96,1.63,1.99,2.09,4.24,4.17,6.61,5.97
d_0,0.03,0.02,0.03,0.06,0.06,0.13,0.76,1.0,1.03,0.95,1.4,1.45,2.53,2.9,4.35,4.72
g_1,0.03,0.03,0.04,0.04,0.05,0.1,0.51,0.93,1.0,1.16,1.23,1.82,2.44,3.22,3.61,3.64
c_0,0.03,0.03,0.02,0.04,0.04,0.12,0.63,0.95,0.88,1.0,1.65,1.41,2.65,3.12,3.57,3.93
b_0,0.02,0.03,0.03,0.04,0.04,0.08,0.52,0.76,0.83,0.64,1.0,1.02,2.26,3.45,2.69,3.17
f_0,0.02,0.02,0.03,0.03,0.04,0.09,0.47,0.66,0.55,0.7,0.98,1.0,1.96,2.44,1.93,3.97
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.23,0.38,0.41,0.38,0.46,0.5,1.0,1.16,1.7,1.26
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.25,0.33,0.31,0.3,0.29,0.47,0.82,1.0,1.39,1.2
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.25,0.28,0.28,0.35,0.52,0.55,0.72,1.0,1.02
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.22,0.27,0.26,0.34,0.26,0.78,0.83,0.91,1.0
