,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.46,33.71,48.06,35.65,28.68,40.74,8.7,5.95,5.07,,5.8,7.59,8.15,3.77,6.62,2.89
f_1,34.12,0.45,36.63,25.16,29.96,50.98,5.32,12.88,7.23,6.75,6.95,,6.27,2.97,10.27,5.28
e_1,36.53,17.6,0.43,34.31,35.43,40.2,10.57,18.28,6.01,6.39,7.75,10.64,8.0,4.46,,5.9
c_1,54.44,45.82,31.31,0.42,38.91,30.85,13.53,8.96,,3.13,5.46,8.54,5.41,5.72,7.02,5.3
b_1,54.57,36.04,45.71,20.29,0.39,27.26,14.34,13.61,11.13,6.71,,8.25,6.58,5.96,4.56,6.18
a_1,39.7,69.77,46.85,40.95,21.89,0.33,15.31,12.35,10.01,7.72,11.17,9.86,,7.32,9.55,8.35
h_1,16.13,19.25,18.8,20.57,18.79,15.42,0.38,4.09,4.66,3.09,2.85,2.97,3.9,,3.87,2.37
g_1,21.25,21.46,26.53,16.74,17.52,30.21,3.31,0.34,4.04,5.28,3.69,4.0,4.6,2.58,4.81,
c_0,9.62,14.54,18.85,,17.19,16.3,3.86,5.24,0.48,4.32,2.96,2.27,3.61,1.9,3.23,2.34
d_0,,13.11,8.25,14.94,13.5,17.5,4.93,4.84,3.06,0.52,3.26,3.34,4.1,2.06,2.96,2.02
b_0,18.94,17.37,18.33,37.96,,17.0,3.44,3.01,1.97,3.24,0.46,3.52,3.22,2.79,,2.61
f_0,15.32,,18.54,17.83,24.64,15.97,6.3,3.51,3.76,2.86,3.45,0.44,3.53,2.62,3.0,1.56
a_0,16.81,21.4,19.16,21.19,32.76,,6.07,7.75,3.73,3.34,2.92,4.64,0.39,2.04,,2.77
h_0,10.44,13.69,10.72,11.15,15.25,15.99,,2.83,3.0,2.54,3.34,3.98,2.18,,2.19,1.53
e_0,30.99,22.69,,22.98,20.76,13.46,8.17,4.76,4.12,4.28,,1.56,,3.91,0.38,2.41
g_0,10.09,17.05,13.23,17.34,16.22,11.83,2.73,,3.22,5.79,3.74,2.16,3.74,1.5,2.62,
