,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.14,6.37,13.43,11.95,12.54,11.64,3.93,4.28,2.31,2.38,2.61,2.45,2.76,1.63,10.61,2.18
f_1,10.46,1.14,11.27,14.29,10.72,13.37,2.54,4.07,2.16,1.85,1.95,8.87,2.4,1.14,2.61,1.86
d_1,15.21,12.35,1.14,10.52,11.63,11.64,3.28,2.25,2.23,17.57,2.43,2.45,2.41,1.79,2.05,1.15
c_1,10.5,14.99,14.29,1.14,13.49,11.57,3.03,2.66,7.85,1.37,2.68,2.39,2.0,1.92,3.68,1.6
b_1,17.44,14.13,12.87,6.89,1.15,13.19,3.98,4.07,3.44,3.04,17.29,2.58,3.49,2.31,2.12,2.02
a_1,21.99,19.92,21.39,21.25,11.37,1.15,6.36,8.79,4.92,4.07,5.5,4.13,13.97,3.25,3.15,3.04
h_1,22.28,25.53,22.39,26.61,28.1,21.75,1.87,6.55,5.5,5.04,5.55,4.96,4.66,8.35,5.38,4.25
g_1,29.02,42.04,32.92,40.91,37.01,29.1,8.48,1.9,6.64,8.31,6.84,6.6,7.79,3.4,5.83,8.82
c_0,38.37,34.82,16.79,155.86,35.71,43.02,10.29,11.52,2.64,10.25,5.82,7.41,7.23,4.13,5.22,5.21
d_0,18.87,34.82,129.15,37.19,41.01,36.65,10.78,12.15,9.33,2.69,8.52,8.2,6.75,4.68,6.36,6.25
b_0,33.2,42.04,29.72,57.42,75.88,35.98,9.07,11.13,3.68,8.54,2.51,6.68,7.36,5.33,6.14,5.46
f_0,46.04,114.9,36.5,35.97,42.75,34.72,12.55,6.49,7.32,8.42,7.26,2.54,9.64,6.51,8.54,3.34
a_0,50.04,43.09,61.05,65.46,63.23,179.91,16.65,15.53,7.95,15.77,4.7,14.24,2.66,6.74,8.33,11.47
h_0,44.84,62.67,57.9,69.64,50.58,53.49,32.71,15.53,9.91,15.0,9.19,12.88,12.27,27.43,9.21,8.0
e_0,143.88,80.16,62.19,56.43,48.95,59.97,19.08,16.29,12.38,15.77,13.36,5.88,13.5,12.0,2.94,5.93
g_0,65.15,78.34,56.92,72.73,67.44,61.84,13.88,47.71,11.5,16.18,11.53,11.76,10.66,6.98,10.0,21.5
