,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.18,0.45,0.76,0.82,1.03,0.75,0.25,0.17,0.17,0.28,0.16,0.22,0.14,0.17,0.64,0.13
f_1,0.7,0.17,0.73,0.92,0.72,0.62,0.15,0.16,0.14,0.28,0.16,0.36,0.08,0.12,0.16,0.15
d_1,1.06,0.85,0.15,0.81,0.79,0.72,0.19,0.36,0.13,0.12,0.14,0.13,0.12,0.15,0.12,0.07
c_1,0.61,0.76,1.18,0.14,0.69,0.74,0.25,0.08,0.43,0.24,0.17,0.14,0.11,0.14,0.16,0.11
b_1,0.75,1.05,0.76,0.37,0.13,0.98,0.24,0.17,0.23,0.29,0.51,0.19,0.12,0.24,0.14,0.1
a_1,0.85,0.88,0.77,0.89,0.42,0.1,0.3,0.18,0.15,0.22,0.16,0.15,0.11,0.64,0.15,0.16
h_1,0.69,0.55,0.59,0.75,0.65,0.54,0.06,0.16,0.11,0.18,0.12,0.12,0.13,0.1,0.1,0.09
d_0,0.34,0.63,1.55,0.58,0.64,0.56,0.2,0.07,0.17,0.23,0.12,0.13,0.09,0.13,0.14,0.11
c_0,0.69,0.61,0.32,1.92,0.63,0.72,0.17,0.18,0.07,0.18,0.12,0.12,0.08,0.13,0.12,0.08
g_1,0.61,0.71,0.58,0.75,0.52,0.91,0.14,0.14,0.12,0.05,0.14,0.1,0.06,0.1,0.11,0.15
b_0,0.55,0.61,0.6,0.75,1.06,0.61,0.16,0.14,0.07,0.19,0.06,0.12,0.09,0.14,0.1,0.09
f_0,0.58,1.35,0.56,0.69,0.6,0.68,0.17,0.13,0.13,0.11,0.1,0.05,0.08,0.09,0.1,0.05
h_0,0.51,0.69,0.57,0.65,0.61,0.56,0.3,0.11,0.12,0.19,0.12,0.1,0.15,0.11,0.1,0.09
a_0,0.51,0.64,0.57,0.82,0.85,1.42,0.15,0.14,0.12,0.24,0.06,0.12,0.1,0.04,0.12,0.07
e_0,1.07,0.99,0.62,0.56,0.49,0.49,0.23,0.13,0.12,0.14,0.12,0.06,0.08,0.11,0.04,0.08
g_0,0.66,0.57,0.54,0.61,0.67,0.55,0.15,0.14,0.12,0.29,0.13,0.11,0.07,0.1,0.12,0.14
