,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,11290.78,167.24,154.19,215.02,455.1,1423.03,204145.82,484638.48,1330594.2,,1123008.05,1836170.5,5549462.68,14038421.48,4878854.86,5955809.79
e_1,87.14,11622.21,177.9,268.71,406.9,2525.93,176821.41,440300.71,609896.56,1187733.46,1099053.41,1988991.11,5173516.37,11586140.77,6794886.45,
f_1,166.24,280.09,14169.45,306.91,330.8,1489.49,249294.41,212728.07,617037.88,779613.92,921307.04,,5950337.7,7535445.12,7070860.95,9111215.38
c_1,121.87,158.93,193.94,20370.77,597.53,1884.07,261652.48,492625.9,,715552.56,512360.23,1430589.96,7006932.29,10937559.92,10558872.99,12889631.05
b_1,162.33,186.24,233.08,209.31,39503.64,3119.12,218589.19,401749.76,541038.25,770289.27,,1905585.23,5565273.12,11100290.31,,8241284.9
a_1,162.45,188.17,170.09,293.25,403.01,261674.5,138242.89,381119.36,663283.65,579136.4,910673.27,2383820.91,5837896.29,10800282.47,,
h_1,519.05,340.09,750.94,795.0,2093.26,5471.32,10229973.98,3201770.88,3449471.68,2137324.38,3438671.48,6770153.74,,62740771.33,27800951.49,29945041.41
g_1,1021.06,396.72,677.74,765.09,1754.27,10275.71,665856.29,28202832.83,1797911.72,2133108.75,5345827.23,11307868.4,11558644.16,,,
c_0,723.52,805.35,835.32,,1575.16,6348.7,1290266.99,2117329.79,19891490.52,2952460.1,10852189.81,8799536.43,27863968.78,58501530.02,44729034.83,57084421.28
d_0,,735.86,1072.54,2186.07,1877.29,8747.43,1247557.8,1719684.93,2315907.62,22481003.35,4841075.25,10875779.12,27544284.28,57413544.25,43346748.97,40316250.87
b_0,725.97,611.56,829.18,1509.04,,5611.8,691214.46,2572555.7,2976880.18,4760841.91,38475945.7,10760302.7,23922683.72,54845184.4,82342086.84,
f_0,859.54,858.18,,987.39,1733.22,9664.53,941157.61,1917792.63,4132320.29,3408319.94,5037389.2,85104525.31,30277868.39,46754422.79,48746515.41,72730516.57
h_0,1008.64,1007.97,1900.88,1660.11,3532.52,11695.41,,5910388.66,4844942.05,5225652.61,8231843.3,11027962.17,,109460493.76,,94132476.41
g_0,1623.41,1077.18,1495.74,1497.82,2526.93,15895.61,1700272.68,,5218426.3,4357536.68,5460255.67,29644782.98,31113884.95,,,73261663.63
a_0,909.45,711.66,868.4,1510.37,,,1257315.24,,2546204.58,2197026.18,3976564.22,12099629.77,,,461442805.73,
e_0,1135.76,,713.48,888.43,2386.63,,1308485.04,,2826484.46,3810733.39,,11851347.35,28392599.76,41529283.81,,576616146.19
