,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.84,0.84,1.07,0.81,0.72,0.48,0.6,0.46,0.35,0.41,0.41,0.37,0.36,0.35,0.34
f_1,1.21,1.0,0.86,0.92,0.8,0.62,0.43,0.41,0.48,0.39,0.35,0.33,0.32,0.28,0.3,0.23
d_1,1.18,1.16,1.0,0.83,0.78,0.7,0.51,0.45,0.33,0.57,0.44,0.4,0.36,0.37,0.29,0.33
c_1,0.93,1.09,1.18,1.0,1.23,0.75,0.57,0.32,0.46,0.36,0.34,0.38,0.31,0.34,0.29,0.33
b_1,1.19,1.27,1.27,0.83,1.0,1.39,0.64,0.48,0.55,0.55,0.49,0.54,0.37,0.48,0.41,0.38
a_1,1.43,1.6,1.42,1.33,0.74,1.0,0.81,0.63,0.62,0.6,0.69,0.59,0.5,0.48,0.59,0.46
h_1,2.03,2.37,1.96,1.74,1.55,1.21,1.0,0.81,0.93,0.76,0.72,0.74,0.67,0.64,0.71,0.66
d_0,1.69,2.34,2.19,3.12,2.13,1.62,1.23,1.0,1.07,0.68,0.87,0.9,0.78,0.73,0.75,0.76
g_1,2.22,2.06,3.0,2.19,1.82,1.53,1.08,0.93,1.0,1.0,0.96,1.21,0.81,0.63,0.84,0.84
c_0,2.83,2.46,1.78,2.71,1.82,1.59,1.29,1.46,1.03,1.0,1.36,1.04,0.97,0.94,0.93,0.75
b_0,2.41,2.92,2.29,2.96,2.22,1.31,1.33,1.22,1.05,0.71,1.0,1.0,1.26,0.89,0.78,0.83
f_0,2.43,2.98,2.58,2.49,1.95,1.67,1.31,1.1,0.83,0.99,1.03,1.0,0.9,0.92,0.75,1.24
a_0,2.74,3.05,2.78,3.3,2.81,1.97,1.52,1.32,1.17,1.0,0.82,1.04,1.0,0.97,0.84,1.03
h_0,2.85,3.36,2.8,2.87,2.11,2.15,1.54,1.37,1.6,1.07,1.13,1.07,1.02,1.0,1.11,0.87
g_0,2.9,3.35,3.54,3.19,2.39,1.72,1.46,1.32,1.18,1.11,1.22,1.35,1.23,0.87,1.0,1.02
e_0,2.9,4.26,3.11,2.94,2.67,2.14,1.55,1.36,1.2,1.25,1.18,0.87,1.01,1.15,0.95,1.0
