,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.94,1.15,1.42,1.55,3.73,22.52,33.44,37.91,35.37,44.39,58.55,78.22,97.71,119.98,124.92
f_1,1.09,1.0,0.98,1.14,1.24,2.53,14.99,24.26,31.39,29.35,38.37,37.23,57.5,73.91,94.58,73.64
d_1,0.87,1.02,1.0,0.92,1.16,2.55,17.12,23.57,24.5,37.46,44.26,36.39,64.83,76.31,69.94,98.51
c_1,0.7,0.92,1.06,1.0,1.54,2.64,16.91,16.14,24.21,23.89,30.53,34.49,61.33,71.76,89.07,90.03
b_1,0.62,0.8,0.84,0.65,1.0,2.71,15.62,16.88,22.98,24.76,29.55,32.02,50.66,57.77,68.28,81.63
a_1,0.27,0.38,0.39,0.38,0.37,1.0,6.99,8.14,11.2,11.25,17.38,14.63,26.25,35.94,33.87,37.25
h_1,0.04,0.06,0.06,0.06,0.07,0.14,1.0,1.34,1.86,1.69,2.06,2.13,3.82,4.54,6.57,5.64
d_0,0.03,0.04,0.04,0.06,0.06,0.13,0.72,1.0,1.34,1.08,1.7,1.74,3.32,3.49,4.52,4.36
g_1,0.03,0.03,0.04,0.04,0.04,0.09,0.52,0.75,1.0,0.98,1.25,1.63,1.99,2.62,3.56,3.58
c_0,0.03,0.03,0.03,0.04,0.04,0.09,0.59,0.93,1.03,1.0,1.79,1.42,2.41,3.01,3.13,3.44
b_0,0.02,0.03,0.02,0.03,0.03,0.06,0.48,0.59,0.79,0.56,1.0,1.02,1.88,2.62,2.49,2.53
f_0,0.02,0.03,0.03,0.03,0.03,0.07,0.47,0.58,0.62,0.69,0.93,1.0,1.69,1.87,2.11,3.48
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.26,0.31,0.49,0.4,0.54,0.58,1.0,1.21,1.54,1.52
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.22,0.29,0.37,0.34,0.39,0.48,0.89,1.0,1.4,1.2
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.23,0.3,0.33,0.41,0.49,0.66,0.71,1.0,1.08
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.19,0.22,0.3,0.29,0.42,0.29,0.68,0.79,0.93,1.0
