,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.42,0.62,0.89,0.92,0.86,0.86,0.52,0.49,0.39,0.47,0.41,0.48,0.43,0.38,0.58,0.42
f_1,0.98,0.41,0.78,0.95,0.87,0.79,0.36,0.48,0.37,0.41,0.37,0.57,0.37,0.25,0.28,0.33
d_1,0.92,0.89,0.41,0.81,0.82,0.95,0.46,0.37,0.44,0.65,0.42,0.39,0.35,0.31,0.45,0.27
c_1,0.72,0.84,1.14,0.37,1.16,0.79,0.47,0.43,0.45,0.23,0.38,0.35,0.38,0.33,0.4,0.33
b_1,0.9,0.89,0.87,0.53,0.36,1.13,0.59,0.56,0.41,0.44,0.55,0.4,0.41,0.36,0.45,0.33
a_1,0.95,0.96,0.87,0.96,0.5,0.3,0.53,0.55,0.54,0.5,0.5,0.42,0.75,0.44,0.36,0.45
h_1,0.77,0.89,0.75,0.81,0.7,0.71,0.26,0.5,0.36,0.4,0.31,0.31,0.35,0.36,0.32,0.28
g_1,0.76,0.84,0.82,0.93,0.79,0.71,0.32,0.24,0.35,0.35,0.32,0.4,0.33,0.26,0.44,0.33
c_0,0.84,0.97,0.5,1.61,0.83,0.6,0.41,0.41,0.25,0.49,0.47,0.35,0.33,0.31,0.39,0.27
d_0,0.48,0.8,1.15,0.99,0.86,0.75,0.44,0.42,0.36,0.25,0.43,0.37,0.39,0.31,0.39,0.37
b_0,0.68,0.84,0.74,0.88,1.32,0.67,0.47,0.44,0.23,0.32,0.24,0.28,0.42,0.32,0.35,0.27
f_0,0.64,1.21,0.79,0.83,0.8,0.71,0.4,0.33,0.31,0.34,0.38,0.23,0.35,0.37,0.62,0.22
a_0,0.72,0.83,0.73,0.84,1.1,0.97,0.43,0.48,0.34,0.37,0.19,0.31,0.21,0.26,0.35,0.22
h_0,0.72,0.94,0.75,0.89,0.73,0.6,0.63,0.42,0.33,0.32,0.29,0.28,0.3,0.4,0.32,0.3
e_0,0.9,1.18,0.67,0.79,0.75,0.91,0.44,0.32,0.32,0.4,0.32,0.17,0.33,0.26,0.19,0.33
g_0,0.82,0.81,0.8,0.74,0.82,0.69,0.38,0.52,0.34,0.31,0.33,0.35,0.41,0.26,0.28,0.37
