,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,2.32,2.03,2.05,1.86,1.6,0.64,0.88,0.55,0.55,0.54,0.75,0.34,0.46,0.46,0.47
e_1,1.46,1.06,2.11,2.53,2.29,2.1,0.86,0.84,0.68,0.82,0.62,0.75,0.52,0.66,1.03,0.55
d_1,2.5,2.89,1.06,2.21,2.36,2.06,1.01,0.6,0.73,1.25,0.65,0.64,0.52,0.55,0.48,0.35
c_1,2.64,2.08,2.86,1.06,2.51,2.21,0.87,1.03,0.96,0.45,0.75,0.78,0.63,0.59,0.72,0.49
b_1,3.35,2.62,2.83,1.74,1.06,2.65,1.07,0.99,0.98,0.79,1.35,0.81,0.6,0.69,0.8,0.61
a_1,4.4,4.02,3.27,3.59,2.18,1.07,1.65,1.36,1.24,1.4,1.42,0.8,0.9,1.95,0.95,0.95
h_1,6.81,6.15,5.88,6.45,5.89,4.15,1.33,2.95,1.79,1.67,1.62,1.6,2.59,1.78,1.52,1.34
g_1,7.34,9.43,7.01,6.7,7.15,5.38,1.86,1.34,2.12,2.2,2.06,2.28,1.4,2.03,1.59,1.79
c_0,8.95,7.68,4.62,10.52,6.41,5.92,2.72,2.23,1.57,3.21,2.62,2.55,1.99,2.03,2.03,1.64
d_0,7.88,4.5,11.02,9.16,7.21,5.2,3.28,4.24,1.98,1.58,2.22,1.83,2.05,1.88,1.65,1.76
b_0,9.8,8.39,7.38,9.43,8.84,5.86,2.87,2.35,1.46,2.4,1.54,1.95,1.91,2.31,2.12,1.63
f_0,13.5,8.61,7.75,8.19,9.02,7.83,3.87,1.93,2.2,3.26,2.59,1.51,2.22,3.01,2.42,1.38
h_0,12.18,9.5,10.43,9.3,9.16,7.96,3.81,3.85,2.47,2.62,2.65,2.21,2.87,2.26,2.41,2.03
a_0,13.57,9.51,11.5,11.54,12.89,10.07,3.56,3.52,2.82,3.25,2.04,2.66,2.43,1.61,2.13,2.04
e_0,17.38,13.74,12.7,9.93,12.05,8.97,3.76,3.81,3.04,3.56,2.92,1.63,2.53,3.81,1.56,2.04
g_0,12.4,10.82,12.6,12.54,12.36,10.0,3.9,4.63,3.22,3.54,3.44,3.78,2.68,2.94,3.57,3.44
