,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.87,0.93,1.17,1.02,0.98,1.0,1.34,1.1,0.91,1.04,1.06,1.1,1.06,1.11,1.08
f_1,1.18,1.0,0.92,1.02,0.98,0.95,0.87,1.02,1.11,0.97,0.93,0.88,0.95,0.91,0.99,0.78
d_1,1.08,1.09,1.0,0.88,0.92,0.94,0.98,1.0,0.79,1.3,1.09,0.97,1.01,1.06,0.88,0.98
c_1,0.85,0.96,1.13,1.0,1.36,1.0,1.07,0.72,0.99,0.85,0.83,0.94,0.86,0.95,0.89,1.03
b_1,0.94,1.05,1.05,0.75,1.0,1.48,1.06,0.89,1.08,1.12,1.01,1.09,0.91,1.17,1.07,1.01
a_1,1.04,1.04,1.04,1.01,0.7,1.0,1.17,1.01,1.12,1.08,1.33,1.12,1.09,0.98,1.15,1.0
h_1,0.97,1.13,1.01,0.93,0.95,0.87,1.0,0.94,1.06,0.95,0.9,1.0,0.95,0.96,1.12,1.06
d_0,0.76,0.97,1.01,1.37,1.11,0.98,1.08,1.0,1.05,0.79,0.97,0.96,1.0,0.94,1.01,1.08
g_1,0.93,0.9,1.22,1.01,0.92,0.84,0.95,0.93,1.0,1.04,1.04,1.29,1.01,0.83,1.06,1.09
c_0,1.11,1.05,0.8,1.16,0.92,0.85,1.04,1.24,0.98,1.0,1.36,1.09,1.17,1.11,1.18,0.99
b_0,0.97,1.09,0.93,1.17,1.04,0.74,1.03,1.1,0.96,0.71,1.0,1.03,1.42,1.03,0.97,1.04
f_0,0.92,1.13,1.02,1.05,0.98,0.88,0.96,1.02,0.79,0.92,0.96,1.0,1.01,1.08,0.9,1.47
a_0,0.92,1.02,1.0,1.22,1.12,0.89,1.06,1.03,0.96,0.84,0.73,0.97,1.0,0.97,0.95,1.13
h_0,0.97,1.11,0.95,1.05,0.9,0.99,1.05,1.05,1.23,0.89,0.96,0.93,1.02,1.0,1.14,0.96
g_0,0.9,0.99,1.14,1.07,0.96,0.8,0.94,0.94,0.93,0.87,0.98,1.1,1.12,0.85,1.0,1.05
e_0,0.96,1.24,1.03,0.96,1.01,0.98,0.94,0.97,0.91,0.96,0.91,0.7,0.94,1.01,0.9,1.0
