,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.57,2.18,1.16,1.48,1.25,0.99,4.73,6.07,4.65,4.88,6.35,2.15,8.49,4.72,4.34,7.58
e_1,1.54,5.78,1.12,1.54,1.05,1.35,4.57,11.21,4.26,5.84,5.73,7.17,9.11,6.72,4.18,8.79
d_1,1.52,1.28,6.31,0.82,1.24,1.32,4.92,2.59,4.98,12.2,7.89,7.07,10.42,9.02,8.69,8.98
c_1,1.31,1.17,1.19,6.69,2.48,1.04,4.6,6.75,3.91,1.79,5.52,6.2,10.47,5.68,5.77,7.48
b_1,1.07,1.34,1.49,1.34,7.77,2.83,4.56,5.29,4.19,4.9,2.26,5.68,6.37,3.75,3.93,8.62
a_1,1.41,1.16,1.51,1.36,1.18,10.78,4.43,5.09,4.61,6.27,6.76,8.87,10.56,3.96,7.68,11.58
h_1,2.27,1.16,1.8,1.55,1.28,1.25,15.82,7.08,8.7,7.56,7.69,6.42,6.29,8.28,9.35,14.56
d_0,1.77,1.57,0.74,3.18,1.52,1.37,5.76,14.85,4.37,5.51,6.94,7.81,11.56,6.19,8.96,12.28
g_1,1.39,1.25,2.57,1.53,1.49,1.48,4.56,6.33,19.13,6.36,9.82,15.1,10.73,8.95,8.36,8.14
c_0,1.75,1.28,1.87,0.99,1.4,1.57,6.75,6.53,8.62,16.28,16.22,8.81,12.9,12.28,8.49,13.19
b_0,1.64,1.78,1.94,1.67,0.69,1.09,6.61,7.75,7.38,7.39,18.33,9.73,10.54,19.72,10.05,10.51
f_0,0.88,1.26,2.21,1.57,2.08,1.47,4.75,6.81,6.95,7.9,8.69,20.54,14.47,8.28,18.34,13.47
h_0,2.15,1.45,1.53,1.62,1.54,2.12,3.36,7.7,7.4,7.6,8.85,8.76,7.73,8.56,9.42,14.78
a_0,1.71,1.36,1.94,1.87,1.54,0.51,6.61,6.38,5.61,8.29,8.38,8.87,11.3,24.22,8.01,11.2
e_0,1.61,0.77,1.86,1.7,1.93,1.43,6.99,8.76,7.38,8.29,9.54,9.76,13.02,7.1,25.68,19.81
g_0,1.19,1.18,2.89,1.52,1.82,1.49,6.29,6.87,5.23,7.5,8.08,15.22,11.34,9.69,8.4,8.91
