,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.15,0.84,0.61,0.94,0.69,0.6,1.03,0.96,0.88,1.71,0.93,0.91,1.1,1.01,0.69,0.9
f_1,1.27,2.12,0.68,0.76,0.57,0.72,0.84,0.86,0.9,1.01,0.99,0.57,1.06,0.91,0.75,0.81
d_1,0.69,0.83,2.28,0.55,0.76,0.71,1.02,0.98,1.73,0.56,1.15,1.03,0.98,0.98,1.01,1.08
c_1,0.66,0.59,0.78,2.24,1.39,0.71,0.91,0.85,0.46,0.86,0.59,1.07,0.69,0.97,1.03,0.95
b_1,0.7,0.88,0.75,0.67,2.31,1.37,0.91,0.91,0.95,0.84,0.78,0.96,0.79,0.98,1.06,0.93
a_1,0.77,0.75,0.91,0.9,0.65,3.39,0.97,0.97,0.8,0.89,1.08,0.95,0.67,1.05,0.89,1.03
h_1,0.72,1.07,0.92,0.92,0.75,0.73,1.97,1.26,0.94,0.91,1.07,0.96,1.13,0.8,0.89,1.43
g_1,0.64,0.71,1.31,0.91,0.8,0.7,1.1,2.47,0.99,0.77,1.08,1.62,1.01,1.01,1.27,0.93
c_0,0.85,0.98,0.96,0.66,0.64,0.7,1.09,1.17,1.82,0.97,2.11,1.26,1.62,1.29,1.22,1.27
d_0,0.81,0.85,0.46,1.53,0.89,0.77,1.01,0.96,0.68,1.7,0.95,1.17,0.91,0.93,1.03,1.06
b_0,0.77,0.94,0.95,0.93,0.55,0.63,0.99,1.02,1.28,0.95,2.04,1.23,2.46,1.36,1.19,1.13
f_0,0.72,0.73,1.02,0.87,0.93,0.83,1.1,1.13,1.1,0.86,1.19,2.01,0.91,1.2,2.38,1.2
a_0,0.8,0.85,0.9,1.06,0.71,0.51,1.05,1.1,1.04,1.22,1.11,1.22,2.38,1.26,1.1,1.26
h_0,0.84,1.15,0.91,0.8,0.85,0.6,0.77,1.29,1.01,1.06,1.03,0.87,0.94,0.74,1.09,1.37
e_0,0.58,0.92,1.1,0.81,0.85,0.88,1.06,1.03,1.24,0.97,1.26,1.18,1.22,1.35,2.45,1.21
g_0,0.69,0.73,1.36,0.78,0.85,0.68,0.94,0.83,1.13,0.86,1.0,1.73,0.86,1.06,1.55,0.94
