,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,9195.93,7796.9,8295.12,9125.25,12355.95,47834.17,8227432.34,15327612.88,24162077.37,22042655.58,45982241.84,44666218.32,188042750.63,244755312.46,334654387.58,760824583.86
e_1,4610.53,10251.98,11361.7,8468.73,13740.62,47039.46,8370008.83,24656605.72,25457569.41,22663477.83,52833526.46,68038414.12,216189762.0,297267323.97,377430234.54,667530662.75
c_1,4122.85,3925.8,20935.07,9112.52,26891.58,73064.71,8682103.07,13764599.73,18819320.53,22598596.83,30812331.77,67394259.17,199339945.13,401061010.07,281972418.81,641777006.19
d_1,5330.95,4798.5,7155.83,24550.61,13180.55,48757.32,9282448.81,11353372.98,49439571.12,23911523.0,59501982.79,63744752.31,224407677.02,349523581.22,375652077.79,793512723.83
b_1,4066.89,4246.63,8360.17,9928.14,39031.67,117085.03,8609127.38,13632769.76,25230064.64,22555211.76,33112459.57,67045712.95,175862217.56,370171323.15,237901864.1,716946409.17
a_1,4566.29,4240.47,9025.01,10291.16,13692.94,208358.08,9659656.19,15197163.21,29085515.2,27185246.19,49937867.82,80369399.6,210558270.61,362886037.08,256917304.02,708201266.03
h_1,5853.65,5081.92,9256.34,12195.44,15144.27,46597.66,16365919.97,14173888.95,27908278.08,33496442.5,52884661.92,74849167.6,167264419.65,428855232.83,450116020.49,959951234.75
d_0,4271.77,5006.87,15242.92,8185.34,19069.71,52914.26,9194168.8,21309539.81,23264804.96,24764994.5,47679107.77,74706827.52,206030362.6,423431089.64,386999947.58,782161147.41
c_0,4941.91,5117.8,8626.85,12129.05,12264.98,59191.15,10630383.32,16121119.21,45386536.37,29708831.84,97217089.47,71881706.91,225578433.42,412584589.61,495137845.48,954855064.84
g_1,4469.04,5029.84,9712.23,15015.68,13207.68,54045.34,8790544.12,14124889.71,29479474.05,54812906.18,49700425.38,102621475.44,197728956.63,463896989.87,398017338.24,629882512.58
b_0,5607.78,5517.45,10301.0,10981.14,11069.07,36875.2,10065270.87,16441348.15,29461891.96,29605133.46,88699665.33,66649148.43,263618599.84,376358443.93,877283112.46,907575204.98
f_0,4292.46,4062.52,10885.6,12577.8,16003.26,61259.65,9765672.15,16375096.18,30664967.45,27662727.16,55833738.25,125000618.41,202937272.3,824859403.89,461409978.46,904818697.69
h_0,5921.41,5037.71,9351.78,11834.87,13658.05,58446.92,7285329.67,15147521.95,28856055.87,33052413.44,56218097.74,66197725.56,193181981.41,341457824.29,395504358.45,1049498270.91
e_0,4878.99,4061.56,10316.39,12329.63,17039.03,61556.0,9315345.66,13733732.27,31267717.52,26782134.32,49197372.51,80622417.34,206233771.25,749600990.05,455150540.76,994325361.67
a_0,5401.17,5163.84,10041.99,10763.77,17264.7,35380.56,10181380.7,19092584.58,32159981.01,24143223.81,57888202.64,70190512.84,262203928.3,468823771.11,821076299.7,913513819.41
g_0,4424.47,4585.61,8952.82,16928.63,14504.38,51461.44,9300299.68,13049479.19,34993078.89,22286052.75,55266714.55,102337138.67,212833251.93,471519228.95,430921512.53,638793317.35
