,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.1,1.78,2.8,3.08,3.14,2.78,0.83,0.68,0.93,0.53,0.6,0.72,0.7,0.42,0.46,0.9
f_1,2.55,1.1,2.57,2.92,3.2,2.59,0.61,0.59,1.08,0.57,0.53,0.84,0.56,0.3,0.45,0.46
d_1,3.92,3.53,1.1,3.13,2.96,2.93,0.78,1.03,0.55,0.67,0.65,0.6,0.57,0.44,0.3,0.55
c_1,2.7,3.53,4.53,1.11,3.51,3.1,1.1,0.4,0.98,0.85,0.63,0.65,0.62,0.5,0.47,0.62
b_1,4.7,5.14,4.82,2.41,1.12,5.05,1.33,0.92,1.41,1.28,1.68,1.09,0.91,0.84,0.72,0.79
a_1,5.66,6.83,6.02,5.72,2.77,1.13,1.89,1.38,1.75,1.24,1.88,1.33,2.47,0.8,1.1,1.3
h_1,10.88,10.76,9.93,10.38,9.96,8.58,1.63,2.42,3.04,2.08,2.11,2.29,2.19,1.82,1.58,2.06
d_0,8.37,13.57,20.04,16.22,17.3,14.59,4.78,2.01,4.74,2.58,2.92,3.12,2.87,1.89,2.21,3.03
g_1,14.55,14.56,16.5,14.77,13.94,12.9,3.55,3.25,1.64,3.39,3.08,3.27,2.81,1.57,3.45,2.91
c_0,18.03,15.7,9.03,25.58,17.8,14.16,4.89,5.59,4.57,2.1,3.68,3.61,3.48,2.72,2.5,2.93
b_0,15.55,19.0,13.8,22.15,27.1,14.59,5.29,4.2,4.38,1.97,2.08,3.29,3.7,2.76,2.25,3.41
f_0,17.46,28.15,15.59,17.38,15.54,14.26,5.23,3.78,2.78,3.45,3.45,1.94,3.37,2.52,1.66,3.48
a_0,20.76,23.03,18.4,26.44,29.74,35.79,6.6,5.02,5.11,3.87,2.48,3.92,2.12,3.12,2.68,4.59
h_0,20.65,22.35,21.04,25.17,22.79,20.85,8.45,5.33,7.49,4.51,4.87,4.53,4.72,5.01,3.3,4.26
g_0,24.78,30.65,23.55,30.54,25.14,18.42,6.15,5.88,8.82,4.38,4.87,4.61,5.67,2.54,4.39,4.53
e_0,33.4,35.85,24.94,24.58,24.39,25.64,6.95,5.83,5.65,5.35,4.83,2.79,4.57,3.87,3.24,2.45
