,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,8898.7,4692.23,4333.9,5154.4,6664.52,25230.54,4723155.6,7875569.51,13928227.38,11272331.12,23473159.01,17621740.93,87912220.98,118038023.03,171571808.85,374755603.58
e_1,2504.16,9999.58,6296.33,4883.32,5630.64,27648.2,4490231.64,14816678.9,13957096.12,11892484.76,32532748.22,36650526.94,121902342.86,110197752.38,213648387.31,372861487.33
c_1,2523.63,2032.26,20402.29,4568.67,15859.48,30106.7,4493712.5,7543715.69,6172737.13,10921756.22,16149228.55,36444964.19,107594263.67,214890745.81,147850706.49,310860737.37
d_1,2983.17,2671.0,3596.23,23927.67,7100.4,21884.96,4528220.68,4054776.06,27888988.84,12317214.76,28397512.82,37277632.93,129452001.39,184015440.64,204158737.93,432511821.24
b_1,2283.47,2329.94,4667.83,5166.02,38181.84,65957.62,4300121.41,7073351.77,13611705.3,10772638.45,9894385.2,35041027.46,104518113.39,198472360.37,119250556.56,354679837.34
a_1,2430.13,2117.48,4393.9,5816.74,8100.95,204225.36,5788324.91,8337595.78,16517699.99,18052032.56,29773681.45,44151429.82,96879204.3,195713817.75,82280705.21,383996558.88
h_1,3852.4,3012.55,5075.13,7962.31,9064.85,31651.24,14395653.87,8417258.29,17519065.07,19594324.21,32374260.72,48138288.18,77198962.92,260227689.82,229344829.49,647882282.11
d_0,2707.27,3200.11,10883.32,3508.0,11217.48,31876.06,5322939.83,17521177.18,15509869.97,14882809.2,32150591.02,46931212.16,139167678.89,273984822.71,223807198.6,516521512.44
c_0,3031.46,3074.23,3712.82,7676.08,7468.62,34774.8,6899720.49,10564218.27,37029242.14,16581673.58,69549562.7,49650251.16,149784079.79,228629677.04,281389813.82,578051272.44
g_1,2562.89,2758.3,6794.86,9852.7,8619.75,37156.17,4965029.55,8425372.81,15391937.78,48364328.98,29871758.26,66910705.6,122665186.06,247944942.86,219595772.82,230232918.39
b_0,3455.11,3440.77,6172.26,6073.64,5181.27,19921.08,6985941.43,10074698.44,20623324.37,19314579.05,74449555.16,42451686.9,169542942.64,246891139.22,576588900.77,500392815.72
f_0,2068.19,2437.51,6837.23,7913.53,9568.09,42516.02,6097348.6,10564578.18,17159670.9,17075757.51,37013377.04,107601264.93,129344635.1,578051078.32,270827596.05,545007753.58
h_0,4103.03,2807.47,5804.55,6825.4,7891.32,35505.14,3731510.32,10729494.72,20692829.54,20810778.83,38228306.47,41031648.07,94592556.41,190129924.89,231709624.14,638550152.78
e_0,2858.1,1949.55,6389.51,8607.48,10649.4,33821.98,6528076.88,10160728.75,20218223.36,15412360.31,31560578.59,54877443.74,122090392.58,619862357.16,286942732.22,649834685.19
a_0,3658.86,3235.57,5623.52,8189.82,9955.56,11566.72,5312024.71,13252499.89,21045869.93,12961099.1,33145664.41,44294983.83,170930408.96,294827319.97,666813479.75,551258339.3
g_0,2355.47,2686.88,5357.02,12311.73,8564.49,32070.17,5418435.46,7509605.95,20218223.36,12535904.67,33262374.5,73951654.95,116421607.89,270196412.09,261825729.13,345293685.06
