,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.52,1.07,0.62,0.62,0.63,0.51,0.79,0.73,0.86,0.72,0.48,0.72,0.78,0.52,0.7,0.67
e_1,0.68,1.52,0.84,0.62,0.59,0.58,0.76,0.69,1.3,0.76,0.9,0.81,0.85,0.56,0.72,0.83
c_1,0.74,0.6,1.54,0.71,1.04,0.41,0.84,0.74,0.7,0.46,0.77,0.56,0.93,0.74,0.63,0.87
d_1,0.82,0.67,0.6,1.55,0.65,0.44,0.81,0.64,0.63,1.35,0.81,0.74,0.92,0.69,0.61,0.85
b_1,0.72,0.7,0.66,0.65,1.6,1.05,0.88,0.66,0.76,0.82,0.74,0.5,0.8,0.7,0.65,0.75
a_1,0.8,0.83,0.93,0.81,0.49,1.77,0.82,0.86,0.84,0.66,0.95,1.09,1.0,0.92,0.48,0.76
h_1,1.15,0.88,0.87,0.91,0.74,0.67,1.71,1.25,1.04,0.98,0.98,0.94,0.83,0.96,0.75,1.25
g_1,0.88,0.8,0.88,1.41,0.87,0.69,0.86,1.82,0.99,1.08,1.52,1.04,0.96,0.84,0.94,0.78
d_0,0.93,0.85,1.53,0.55,0.92,0.8,0.99,1.03,1.53,0.83,1.12,1.04,1.18,0.88,1.03,1.08
c_0,1.14,0.97,0.89,0.91,0.63,0.8,1.02,1.02,1.22,1.61,1.08,1.88,1.34,0.99,1.07,1.31
f_0,0.76,0.78,1.11,1.07,1.0,0.75,1.08,0.84,1.23,1.09,1.68,1.18,1.3,1.53,0.86,0.94
b_0,1.03,0.97,1.04,1.16,0.57,0.54,1.11,1.18,1.15,0.96,1.04,1.7,1.44,0.89,1.71,1.09
h_0,1.26,0.99,1.02,1.03,0.92,0.68,0.93,1.44,1.16,1.11,1.08,1.04,1.02,0.95,1.08,1.36
e_0,1.23,0.63,1.04,1.1,0.95,0.8,1.08,1.2,1.16,1.32,1.06,1.46,1.42,1.74,1.15,1.14
a_0,1.03,0.94,1.16,1.23,0.88,0.58,1.35,1.1,1.13,1.15,1.08,0.98,1.34,0.85,1.73,1.34
g_0,0.93,0.94,0.92,1.36,1.02,0.78,1.01,0.9,1.07,1.16,1.71,1.21,1.29,1.18,1.01,0.93
