,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.96,1.23,1.0,0.96,0.93,0.82,1.01,0.87,0.94,0.83,0.83,0.82,0.84,0.88,0.9
d_1,1.03,1.0,1.08,1.0,0.92,0.9,1.01,0.82,1.27,1.05,1.22,0.9,1.01,1.09,0.98,0.74
e_1,0.82,0.92,1.0,1.16,1.02,0.98,1.09,1.13,1.05,1.39,1.07,1.14,1.16,1.0,1.26,1.46
c_1,0.99,1.0,0.86,1.0,1.44,0.97,0.88,0.95,0.87,0.71,0.9,0.97,1.01,0.94,0.92,1.14
b_1,1.03,1.08,0.98,0.7,1.0,1.52,1.21,0.93,1.1,1.14,0.76,1.11,0.95,1.08,1.0,1.07
a_1,1.07,1.1,1.03,1.03,0.67,1.0,1.17,1.25,0.96,0.94,1.12,1.16,1.21,1.31,1.07,1.06
h_1,1.23,1.0,0.91,1.17,0.83,0.89,1.0,1.14,0.88,0.9,0.83,0.87,0.97,0.83,0.91,1.09
g_1,1.01,1.21,0.87,1.1,1.05,0.83,0.89,1.0,0.89,0.9,0.86,1.14,0.85,1.18,0.94,0.98
c_0,1.13,0.76,0.92,1.24,0.89,1.06,1.11,1.12,1.0,1.18,1.45,1.01,1.11,1.11,1.09,1.0
d_0,1.03,1.0,0.71,1.42,0.9,1.01,1.08,1.16,0.83,1.0,0.99,1.15,1.0,0.89,0.98,1.08
b_0,1.12,0.85,0.93,1.17,1.26,0.88,1.17,1.17,0.71,1.0,1.0,0.92,1.05,1.42,0.99,1.01
f_0,1.11,1.12,0.87,1.02,0.97,0.88,1.11,0.84,0.98,0.89,1.07,1.0,1.19,1.1,1.35,0.8
h_0,1.19,1.03,0.89,0.98,1.02,0.83,0.94,1.2,0.87,0.97,1.02,0.89,1.0,0.88,1.03,1.15
a_0,1.1,0.94,0.99,1.02,0.99,0.84,1.18,0.92,0.91,1.05,0.73,1.01,1.14,1.0,1.22,1.05
e_0,1.21,1.0,0.79,1.06,1.08,0.87,1.05,1.02,0.99,0.97,1.05,0.73,1.04,0.85,1.0,0.92
g_0,1.05,1.36,0.75,0.88,0.91,0.99,0.91,0.96,1.0,0.9,1.0,1.24,0.87,1.01,1.03,1.0
