,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,15.57,1.25,0.53,0.52,0.5,0.45,0.73,0.89,0.7,0.61,0.83,0.42,0.83,1.04,0.92,0.89
e_1,0.58,14.88,0.44,0.88,0.53,0.47,0.94,2.08,0.87,1.0,1.01,0.99,0.83,0.95,0.95,0.5
d_1,0.6,0.52,19.55,0.33,0.52,0.7,0.84,0.38,0.85,2.26,1.17,1.04,1.13,0.88,0.97,0.98
c_1,0.59,0.47,0.54,16.81,1.26,0.58,0.76,0.72,0.95,0.27,0.62,0.99,1.15,0.95,0.79,0.95
b_1,0.49,0.44,0.58,0.65,20.82,1.31,0.79,0.77,0.87,0.8,0.35,0.9,0.88,0.65,0.95,0.97
a_1,0.57,0.53,0.67,0.56,0.5,29.68,1.15,0.9,0.93,0.92,1.18,0.92,0.97,0.56,0.9,0.9
h_1,1.17,0.56,0.74,0.79,0.69,0.65,4.88,1.1,1.55,1.14,1.07,0.97,0.72,1.02,1.85,1.14
d_0,0.73,0.75,0.36,2.08,0.64,0.52,1.26,2.9,0.85,0.89,1.05,1.44,1.21,1.05,1.43,1.27
g_1,0.76,0.53,1.56,0.73,0.61,0.67,0.97,0.71,6.15,1.06,1.23,2.08,1.11,0.91,0.65,1.1
c_0,0.81,0.81,0.95,0.46,0.41,0.68,1.29,1.29,0.99,3.32,3.78,1.23,1.31,1.79,1.6,1.28
b_0,0.8,0.78,0.95,0.68,0.3,0.39,1.58,1.39,1.26,1.4,3.35,1.3,1.23,3.31,1.4,1.44
f_0,0.4,0.58,0.88,0.77,0.86,0.73,1.53,1.33,1.25,1.42,1.54,3.33,1.36,1.26,1.17,3.04
h_0,1.13,0.62,0.83,0.75,0.83,0.61,0.62,0.93,1.96,0.91,1.19,1.1,0.85,1.15,1.58,0.93
a_0,0.9,0.76,0.8,0.78,0.62,0.46,1.35,1.58,1.19,1.18,1.24,1.45,1.63,4.09,1.16,1.24
g_0,0.63,0.59,1.38,0.82,0.7,0.85,1.06,0.99,0.73,1.03,1.36,2.3,1.18,1.09,0.7,1.2
e_0,0.88,0.39,0.87,0.74,0.76,0.69,1.8,1.1,1.3,1.29,1.51,1.21,1.53,1.04,1.13,5.44
