,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,11368.42,1169.09,1089.31,2130.0,3226.8,22751.09,1155437.42,2554577.36,4375702.82,8734568.21,6900537.22,10668267.43,43706477.59,42301599.63,14861941.4,100798437.49
f_1,2112.09,12426.07,1412.83,1890.41,3217.52,16116.15,1142743.56,2199338.02,4012446.46,3937949.67,6390742.24,2631440.36,42230724.17,40281778.65,36228949.25,64245040.15
d_1,1112.89,1373.79,12709.76,1388.75,3014.31,20140.05,1592071.79,3174490.35,7224853.43,968609.99,6368808.3,12294225.56,38361347.82,43186870.66,49628243.59,82326325.64
c_1,1276.78,1237.11,825.3,21021.8,8297.09,15461.12,954330.87,2926490.33,793740.32,4885034.49,5191479.34,8906290.75,42291224.34,50262991.19,49692968.6,78674013.49
b_1,947.09,1551.83,1142.01,2096.22,50881.58,52487.35,959928.45,2387613.44,3354798.43,3903556.55,1009471.87,6764838.79,34808928.76,36974249.28,45144397.55,65216493.75
a_1,1083.53,976.44,1452.12,2109.52,3340.75,452357.08,1478716.29,2562707.63,3813317.69,4882154.91,4066194.82,9888769.17,64450084.79,9641564.79,43388588.34,104218695.37
h_1,1861.62,3069.06,2471.18,3163.25,6639.52,25814.95,7687245.62,5604633.61,6823355.11,5706500.71,11054970.33,12513449.33,24982684.2,80654486.82,79478257.45,215425051.96
g_1,1356.62,1735.79,4233.05,2602.27,6570.67,32579.19,1970311.49,22084783.17,8012491.35,5148789.27,7304189.81,28038308.59,83789506.79,74985560.01,90291123.8,74585652.04
c_0,2033.94,2502.85,2876.74,1411.1,5188.38,44065.13,2032591.45,5395941.8,18422837.41,7498642.39,18616053.75,20121444.85,83176213.4,92826951.88,104386810.04,179534237.15
d_0,1792.67,2121.25,401.88,7632.98,6671.09,35112.6,1948865.55,3921632.11,6371664.58,20676322.68,9173297.73,21849939.01,69173411.3,97746495.32,118175349.03,169374217.63
b_0,2454.3,2564.85,2086.94,3055.57,2843.39,31925.9,2135978.23,4600004.98,7293901.44,8732670.94,30242187.66,22054371.04,95635309.0,188072587.4,147858763.47,166506858.83
f_0,1649.55,734.72,2654.12,4328.04,5522.21,38126.27,2295929.05,5001462.1,8111126.06,9530922.03,12141111.47,56107875.05,89346815.36,112074693.57,259939963.47,149841859.93
h_0,1829.2,3523.99,2468.36,3036.45,6425.95,31726.05,992832.53,5975224.45,5951189.17,7018975.71,8327906.0,18834333.64,29310369.59,87319932.54,115447514.29,203070144.73
a_0,2515.87,2187.39,3280.58,3386.2,6708.7,,1488979.93,3932539.79,6636666.45,5835003.79,8277669.37,14129784.24,90630564.52,320321466.5,99484876.07,143784395.67
e_0,663.33,2474.62,2478.17,4056.76,7985.03,41920.9,1960264.45,5159990.23,8518839.33,9353145.34,12231976.95,21960501.63,80861378.87,105258322.76,405632120.41,214091873.02
g_0,1564.3,2261.23,3227.87,3019.44,7504.79,29121.52,2042628.5,2337737.63,5872327.25,7766451.04,10369566.55,27786757.17,71540588.88,101454870.76,81404167.83,73080332.2
