,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,5.9,0.09,0.08,0.07,0.06,0.07,0.37,,0.6,0.19,0.49,0.47,0.51,0.38,0.4,0.54
f_1,0.07,5.9,0.14,0.07,0.08,0.09,0.4,0.38,0.4,0.21,0.29,,0.71,0.21,0.24,0.6
e_1,0.07,0.1,6.21,0.07,0.08,0.05,0.27,0.69,0.34,0.27,0.28,0.29,0.65,0.33,,0.52
c_1,0.07,0.06,0.08,6.5,0.14,,0.32,0.42,,0.34,0.28,0.42,0.61,0.46,0.4,0.73
b_1,0.08,0.07,0.08,0.08,7.46,0.12,0.4,0.46,0.28,0.3,,0.43,0.52,0.28,0.42,0.34
a_1,0.08,0.12,0.07,,0.05,10.06,0.19,0.37,0.39,0.29,0.38,,0.55,,,0.56
h_1,0.32,0.46,0.25,0.33,0.29,0.36,14.35,1.62,1.4,1.24,1.07,1.12,,1.39,1.31,2.0
d_0,,0.34,0.39,0.66,0.37,0.57,1.33,11.64,1.69,1.09,2.47,1.8,3.13,1.85,1.49,3.04
c_0,0.38,0.32,0.45,,0.38,0.39,1.61,1.79,12.1,1.27,3.68,1.91,2.4,2.16,1.62,2.36
g_1,0.46,0.26,0.17,0.3,0.3,0.29,0.99,1.24,1.32,17.91,1.4,1.99,2.67,,1.35,
b_0,0.34,0.3,0.26,0.46,,0.3,1.56,1.65,2.23,1.52,13.88,2.12,3.41,2.7,,2.97
f_0,0.42,,0.35,0.43,0.42,,1.17,1.93,2.17,1.33,1.97,14.62,3.42,2.27,4.07,2.7
h_0,0.51,0.66,0.58,0.49,0.49,0.58,,2.89,2.72,4.04,2.86,2.31,,3.17,2.62,6.4
a_0,0.42,0.35,0.36,0.32,0.31,,1.75,1.5,2.26,,2.18,1.36,3.03,20.98,,3.52
e_0,0.35,0.42,,0.34,0.44,,1.0,2.23,2.86,1.44,,2.51,3.2,,21.16,2.74
g_0,1.05,0.54,0.46,0.45,0.55,0.63,1.65,2.31,2.04,,2.6,4.59,3.61,2.96,3.91,
