,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.36,1.83,1.13,1.05,0.86,1.06,1.96,2.16,2.26,2.19,2.45,1.27,2.62,2.44,2.89,1.83
e_1,1.02,2.44,1.36,1.04,1.22,1.05,2.32,2.05,4.07,2.78,2.62,2.83,3.13,2.59,3.09,2.25
c_1,1.07,1.0,2.51,1.13,1.93,0.98,2.32,2.14,2.0,1.34,1.9,2.4,3.0,2.07,2.76,2.56
d_1,1.31,1.07,0.98,2.57,1.03,1.18,2.21,1.94,1.42,3.84,2.75,2.81,2.76,2.8,3.18,2.58
b_1,1.25,0.93,1.02,1.15,2.78,1.93,2.34,2.33,2.65,2.51,1.65,2.37,3.34,1.85,3.39,2.26
a_1,1.39,1.17,1.26,1.04,0.9,3.35,2.14,2.31,2.77,2.52,2.14,2.26,3.63,1.54,2.77,1.94
h_1,1.69,1.2,1.09,1.39,1.09,1.19,4.06,2.75,2.37,2.69,2.96,2.11,2.68,2.65,4.16,2.52
g_1,1.1,1.18,1.19,1.85,1.12,1.14,2.1,4.36,2.48,2.63,2.94,3.56,3.16,2.82,2.47,3.47
d_0,1.24,0.94,2.13,0.99,1.22,0.89,2.66,2.5,3.91,2.17,2.97,3.03,3.83,3.34,3.37,3.42
c_0,1.46,1.16,1.17,1.26,0.88,1.29,2.07,2.62,3.26,4.02,5.04,3.05,3.74,3.61,4.1,3.45
b_0,1.34,1.2,1.31,1.48,0.73,1.24,2.4,2.73,2.43,2.25,4.36,2.78,3.58,4.74,3.2,3.18
f_0,1.01,1.0,1.32,1.46,1.08,1.02,2.64,2.44,2.97,3.0,3.1,4.58,4.11,3.34,3.53,5.45
h_0,1.6,1.15,1.33,1.46,1.19,1.02,1.68,3.19,2.51,2.61,2.95,2.38,2.48,2.81,3.87,2.71
a_0,1.28,1.25,1.47,1.37,1.27,0.9,2.53,2.71,2.35,2.19,2.78,2.95,3.29,4.87,3.28,3.43
g_0,1.24,1.07,1.19,1.79,1.06,1.0,2.21,2.0,2.3,2.4,3.31,3.83,3.28,3.04,2.49,3.12
e_0,1.5,0.67,1.45,1.31,1.63,1.4,2.2,2.02,2.65,2.64,3.2,2.62,4.0,2.24,3.51,5.45
