,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.67,1.42,1.33,1.12,1.1,0.98,0.42,0.61,0.47,0.42,0.45,0.54,0.31,0.44,0.38,0.39
e_1,0.84,0.66,1.48,1.31,1.59,1.21,0.62,0.62,0.66,0.5,0.49,0.61,0.44,0.46,0.44,0.82
c_1,1.35,1.11,0.65,1.56,1.39,1.14,0.7,0.6,0.3,0.57,0.47,0.47,0.36,0.39,0.4,0.44
d_1,1.47,1.46,1.36,0.64,1.29,1.33,0.54,0.39,0.65,0.51,0.41,0.44,0.35,0.47,0.26,0.41
b_1,1.91,1.34,0.87,1.58,0.62,1.56,0.75,0.72,0.59,0.72,0.88,0.54,0.5,0.53,0.48,0.41
a_1,1.82,1.76,1.85,1.57,0.99,0.56,0.8,0.85,0.77,0.62,0.63,0.77,0.64,0.93,0.55,0.55
h_1,2.17,1.99,1.95,1.93,1.76,1.74,0.57,0.98,0.72,0.8,0.78,0.67,0.78,0.65,0.63,0.68
g_1,2.2,2.29,2.12,2.3,2.06,1.95,0.82,0.55,0.78,0.74,0.73,0.8,0.51,0.73,0.66,0.8
d_0,2.21,1.34,2.54,3.11,2.17,1.75,1.12,1.02,0.61,0.66,0.82,0.81,0.72,0.9,0.7,0.79
c_0,2.5,2.24,3.87,1.46,2.03,1.91,1.01,1.09,1.13,0.6,0.95,0.78,0.79,1.11,0.66,0.86
b_0,2.34,2.3,3.37,2.13,3.32,2.23,1.03,0.99,0.84,0.46,0.57,0.71,0.67,0.83,0.54,0.67
f_0,3.56,2.27,2.41,2.08,2.29,2.25,1.18,0.77,0.91,0.84,0.88,0.57,0.79,0.76,0.48,0.93
h_0,2.95,2.3,2.47,2.54,2.12,1.95,1.31,1.14,0.83,0.75,0.81,0.72,0.9,0.83,0.72,0.71
a_0,2.57,2.38,2.99,2.53,3.84,3.83,1.15,1.06,0.84,0.68,0.57,0.88,0.72,0.55,0.71,0.91
g_0,2.91,2.89,2.73,2.67,2.45,2.41,0.99,1.47,1.03,0.82,0.96,1.04,0.69,0.94,1.0,0.9
e_0,4.27,2.64,2.9,2.58,2.97,3.16,1.44,0.98,1.02,0.87,1.02,0.55,0.79,0.75,0.7,0.53
