,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,0.86,0.76,0.94,0.92,0.92,0.39,0.44,0.38,0.42,0.37,0.52,0.24,0.32,0.38,0.34
e_1,0.6,0.42,0.98,1.01,0.8,0.81,0.54,0.59,0.42,0.49,0.44,0.51,0.37,0.55,0.38,0.6
d_1,0.98,0.97,0.4,0.85,0.8,0.7,0.5,0.36,0.44,0.73,0.4,0.39,0.34,0.38,0.23,0.42
c_1,0.84,0.71,1.01,0.38,1.06,0.98,0.47,0.46,0.48,0.24,0.37,0.4,0.35,0.4,0.32,0.39
b_1,0.97,1.09,0.95,0.51,0.35,1.07,0.45,0.51,0.44,0.4,0.57,0.36,0.37,0.38,0.43,0.37
a_1,1.06,0.99,0.92,1.01,0.48,0.3,0.51,0.46,0.39,0.38,0.56,0.37,0.38,0.82,0.32,0.39
h_1,0.82,0.74,0.74,0.83,0.85,0.72,0.25,0.48,0.31,0.37,0.34,0.35,0.4,0.31,0.34,0.36
g_1,0.87,0.75,0.85,0.77,0.77,0.82,0.31,0.23,0.38,0.36,0.38,0.36,0.27,0.34,0.37,0.41
c_0,0.83,0.77,0.49,1.26,0.88,0.8,0.46,0.44,0.25,0.38,0.42,0.34,0.3,0.37,0.29,0.35
d_0,0.79,0.47,1.09,1.05,0.86,0.94,0.44,0.53,0.42,0.25,0.37,0.38,0.3,0.3,0.34,0.35
b_0,0.83,0.75,0.64,1.01,1.46,0.62,0.4,0.43,0.21,0.4,0.24,0.34,0.28,0.53,0.28,0.33
f_0,1.3,0.73,0.7,0.7,1.03,0.71,0.44,0.35,0.33,0.32,0.36,0.23,0.32,0.33,0.21,0.41
h_0,0.89,0.71,0.68,0.75,0.74,0.65,0.53,0.44,0.35,0.4,0.31,0.35,0.41,0.33,0.33,0.28
a_0,0.96,0.61,0.79,0.78,1.0,1.03,0.46,0.4,0.36,0.42,0.2,0.34,0.28,0.2,0.32,0.37
g_0,0.81,0.77,0.82,0.83,0.75,0.65,0.33,0.57,0.28,0.34,0.32,0.4,0.21,0.33,0.4,0.32
e_0,1.0,0.95,0.75,0.8,0.81,0.71,0.38,0.33,0.31,0.32,0.34,0.18,0.32,0.29,0.35,0.19
