,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.17,0.87,0.92,0.81,0.67,0.42,0.46,0.43,0.37,0.36,0.34,0.3,0.32,0.29,0.32
e_1,0.86,1.0,0.96,1.12,0.88,0.7,0.54,0.46,0.56,0.41,0.43,0.44,0.37,0.35,0.36,0.35
d_1,1.11,1.03,1.0,0.84,0.87,0.74,0.52,0.37,0.4,0.55,0.44,0.39,0.35,0.33,0.33,0.28
c_1,1.07,0.91,1.21,1.0,1.22,0.86,0.51,0.46,0.34,0.44,0.39,0.41,0.38,0.32,0.33,0.34
b_1,1.24,1.11,1.18,0.83,1.0,1.2,0.6,0.49,0.47,0.55,0.48,0.44,0.43,0.32,0.37,0.38
a_1,1.55,1.4,1.37,1.15,0.84,1.0,0.75,0.68,0.6,0.62,0.58,0.5,0.49,0.52,0.42,0.46
h_1,2.38,1.97,1.92,1.93,1.68,1.27,1.0,0.95,0.89,0.76,0.85,0.77,0.73,0.62,0.7,0.75
g_1,2.16,2.19,2.64,2.23,2.04,1.48,1.0,1.0,0.97,0.93,0.91,1.05,0.69,0.73,0.73,0.81
d_0,2.22,1.85,2.37,2.87,2.22,1.63,1.12,1.03,1.0,0.78,0.89,0.86,0.88,0.77,0.76,0.78
c_0,2.66,2.42,1.82,2.33,1.83,1.57,1.28,1.04,1.31,1.0,1.28,0.86,0.88,0.84,0.77,0.76
b_0,2.78,2.37,2.23,2.51,2.15,1.74,1.21,1.1,1.14,0.81,1.0,0.93,0.89,1.09,0.74,0.8
f_0,2.92,2.28,2.59,2.43,2.25,1.99,1.29,0.92,1.13,1.16,1.02,0.99,0.96,0.8,1.14,0.77
h_0,3.21,2.71,2.85,2.59,2.28,2.05,1.39,1.43,1.16,1.13,1.11,0.99,1.0,0.94,0.77,1.04
a_0,3.16,2.81,2.96,3.15,3.1,2.11,1.74,1.41,1.42,1.19,0.96,1.22,1.01,1.0,1.06,0.93
e_0,3.58,2.84,2.96,3.03,2.57,2.27,1.51,1.39,1.32,1.31,1.32,0.92,1.32,0.93,1.0,1.01
g_0,3.25,2.85,3.43,2.82,2.59,2.01,1.37,1.25,1.27,1.27,1.25,1.28,0.97,1.09,0.96,1.0
