,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.89,0.19,0.35,0.16,0.13,0.09,0.14,0.11,0.16,0.15,0.12,0.05,0.16,0.09,0.07,0.1
d_1,0.22,0.89,0.17,0.15,0.14,0.1,0.17,0.14,0.31,0.06,0.2,0.13,0.17,0.12,0.11,0.13
e_1,0.25,0.15,0.89,0.18,0.14,0.09,0.16,0.14,0.17,0.31,0.19,0.13,0.18,0.11,0.05,0.16
c_1,0.2,0.17,0.16,0.88,0.3,0.11,0.14,0.12,0.06,0.16,0.12,0.15,0.17,0.1,0.11,0.16
b_1,0.2,0.21,0.18,0.16,0.88,0.2,0.17,0.11,0.15,0.19,0.04,0.14,0.17,0.11,0.1,0.14
a_1,0.21,0.23,0.18,0.18,0.12,0.87,0.15,0.16,0.16,0.13,0.17,0.16,0.22,0.05,0.1,0.12
h_1,0.33,0.25,0.19,0.23,0.14,0.1,0.57,0.24,0.17,0.16,0.15,0.16,0.14,0.11,0.13,0.22
g_1,0.21,0.38,0.19,0.23,0.16,0.1,0.22,0.56,0.17,0.14,0.16,0.24,0.19,0.14,0.12,0.09
c_0,0.3,0.27,0.21,0.13,0.13,0.13,0.2,0.18,0.44,0.16,0.35,0.17,0.23,0.17,0.13,0.19
d_0,0.27,0.11,0.23,0.43,0.17,0.12,0.19,0.15,0.11,0.42,0.16,0.17,0.2,0.12,0.12,0.15
b_0,0.29,0.22,0.25,0.21,0.12,0.12,0.23,0.2,0.2,0.18,0.41,0.16,0.23,0.26,0.13,0.16
f_0,0.15,0.3,0.19,0.25,0.17,0.13,0.26,0.19,0.22,0.15,0.2,0.41,0.27,0.15,0.29,0.18
h_0,0.36,0.26,0.2,0.2,0.2,0.12,0.12,0.23,0.18,0.18,0.2,0.16,0.14,0.13,0.13,0.23
a_0,0.29,0.22,0.24,0.22,0.18,0.05,0.25,0.15,0.22,0.19,0.17,0.18,0.26,0.39,0.15,0.19
e_0,0.28,0.27,0.1,0.24,0.21,0.12,0.24,0.18,0.21,0.18,0.21,0.2,0.21,0.11,0.4,0.18
g_0,0.24,0.43,0.15,0.19,0.17,0.12,0.22,0.1,0.25,0.15,0.18,0.27,0.22,0.14,0.14,0.1
