,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.05,1.09,0.83,0.76,0.67,0.48,0.36,0.55,0.41,0.46,0.39,0.33,0.35,0.33,0.28
e_1,0.93,1.0,0.79,1.1,0.95,0.73,0.52,0.49,0.42,0.55,0.39,0.5,0.37,0.35,0.35,0.36
f_1,0.93,1.29,1.0,0.98,0.81,0.62,0.42,0.52,0.42,0.43,0.41,0.35,0.31,0.35,0.27,0.3
c_1,1.21,0.92,1.03,1.0,1.27,0.8,0.55,0.47,0.43,0.34,0.37,0.47,0.36,0.32,0.34,0.36
b_1,1.27,1.03,1.27,0.8,1.0,1.21,0.61,0.52,0.54,0.46,0.5,0.45,0.4,0.34,0.43,0.43
a_1,1.5,1.36,1.59,1.2,0.84,1.0,0.74,0.64,0.59,0.64,0.61,0.51,0.58,0.43,0.51,0.46
h_1,2.02,1.93,2.36,1.82,1.66,1.36,1.0,0.95,0.85,0.79,0.79,0.69,0.72,0.64,0.64,0.74
g_1,2.72,1.94,1.95,2.05,1.99,1.59,1.06,1.0,0.98,0.81,0.91,0.96,0.71,0.8,0.84,0.71
c_0,1.88,2.37,2.25,2.36,1.81,1.74,1.22,1.02,1.0,1.21,1.15,0.89,0.83,0.86,0.76,0.74
d_0,2.29,1.88,2.32,2.95,2.26,1.64,1.29,1.18,0.81,1.0,0.86,1.04,0.9,0.8,0.85,0.87
b_0,2.32,2.5,2.38,2.66,1.89,1.71,1.26,1.15,0.85,1.13,1.0,0.88,0.95,1.19,0.81,0.83
f_0,2.54,2.0,2.79,2.19,2.22,2.02,1.41,1.02,1.07,0.97,1.05,1.0,0.97,0.89,1.26,0.73
h_0,2.99,2.73,3.12,2.71,2.5,1.71,1.4,1.41,1.25,1.08,1.06,1.02,1.0,0.99,0.8,1.05
a_0,2.85,2.84,2.83,3.2,2.72,2.34,1.55,1.29,1.15,1.23,0.91,1.14,1.02,1.0,0.9,0.89
e_0,3.01,2.87,3.59,2.83,2.48,1.94,1.53,1.23,1.33,1.13,1.26,0.85,1.25,1.1,1.0,1.0
g_0,3.4,2.82,3.36,2.8,2.41,2.18,1.37,1.41,1.35,1.17,1.18,1.38,0.94,1.14,0.99,1.0
