,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.27,0.05,0.03,0.02,0.03,0.03,0.06,0.05,0.04,0.07,0.05,,0.07,0.05,0.04,0.08
e_1,0.04,2.28,0.02,0.03,0.02,0.02,0.06,0.07,0.03,0.12,0.06,0.05,0.08,0.03,,0.08
d_1,0.03,0.03,2.3,0.02,0.02,0.02,0.06,0.13,0.04,,0.07,0.07,0.09,0.04,0.04,0.07
c_1,0.02,0.03,0.02,2.45,0.06,0.02,0.06,,0.04,0.05,0.07,0.05,0.09,0.05,0.04,0.1
b_1,0.03,0.02,0.04,0.02,2.47,0.04,0.06,0.05,0.05,0.06,,0.04,0.1,0.05,0.05,0.07
a_1,0.03,0.03,0.03,0.03,0.02,2.92,0.07,0.06,0.04,0.07,0.04,0.07,0.09,,,0.07
h_1,0.15,0.12,0.1,0.12,0.08,0.11,2.62,0.2,0.25,0.17,0.24,0.17,,0.19,0.21,0.32
c_0,0.14,0.12,0.16,,0.13,0.1,0.26,1.94,0.22,0.29,0.54,0.29,0.48,0.28,0.33,0.26
g_1,0.11,0.11,0.23,0.11,0.12,0.08,0.15,0.27,2.99,0.11,0.16,0.29,0.18,0.21,,
d_0,0.18,0.16,,0.25,0.12,0.13,0.33,0.22,0.19,2.03,0.35,0.27,0.39,0.2,0.2,0.28
b_0,0.11,0.16,0.13,0.16,,0.08,0.29,0.31,0.24,0.29,2.09,0.31,0.5,0.57,0.21,0.28
f_0,,0.1,0.16,0.12,0.14,0.09,0.24,0.34,0.23,0.37,0.37,2.29,0.4,0.32,0.46,0.3
h_0,0.35,0.22,0.23,0.24,0.14,0.12,,0.48,0.62,0.6,0.26,0.36,,0.3,,0.59
a_0,0.12,0.12,0.13,0.15,0.12,,0.28,0.37,0.29,0.33,0.24,0.2,0.59,2.37,,0.36
e_0,0.13,,0.13,0.21,0.17,,0.25,0.38,,0.39,0.33,0.22,,,2.75,
g_0,0.12,0.24,0.23,0.16,0.26,0.17,0.43,0.51,,0.53,0.5,0.81,0.56,0.25,,
