,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.24,1.08,1.29,1.71,2.58,16.17,29.26,30.01,25.97,38.53,48.02,64.06,59.74,121.26,101.58
e_1,0.8,1.0,1.08,1.38,1.71,3.03,23.18,29.21,41.99,31.92,45.45,64.85,82.01,75.21,128.04,129.52
d_1,0.95,0.92,1.0,1.05,1.42,2.56,16.98,20.09,25.55,38.17,43.02,52.94,64.87,66.26,94.99,115.11
c_1,0.78,0.72,0.96,1.0,1.87,2.31,14.02,20.26,17.61,22.44,25.72,38.2,55.61,59.09,93.37,84.43
b_1,0.58,0.6,0.7,0.54,1.0,2.32,11.86,18.88,17.31,18.28,20.79,31.78,38.56,46.06,74.13,75.18
a_1,0.38,0.33,0.38,0.43,0.43,1.0,7.44,10.64,10.59,10.73,14.81,18.61,28.58,34.86,42.98,44.21
h_1,0.06,0.04,0.06,0.07,0.08,0.13,1.0,1.76,1.63,1.58,2.12,2.65,3.37,3.95,7.12,6.64
g_1,0.03,0.03,0.05,0.05,0.06,0.1,0.56,1.0,0.95,1.02,1.32,2.28,2.16,2.12,4.74,4.1
d_0,0.03,0.02,0.04,0.06,0.06,0.09,0.6,1.06,1.0,0.79,1.32,1.7,2.41,2.61,3.99,3.88
c_0,0.04,0.03,0.03,0.05,0.05,0.09,0.62,1.01,1.28,1.0,2.0,1.92,2.63,2.59,4.05,4.34
b_0,0.03,0.02,0.02,0.04,0.05,0.06,0.48,0.76,0.77,0.52,1.0,1.16,2.39,2.06,3.27,2.92
f_0,0.02,0.02,0.02,0.02,0.03,0.06,0.39,0.4,0.6,0.5,0.84,1.0,1.28,1.43,1.94,3.62
a_0,0.02,0.01,0.01,0.02,0.03,0.04,0.29,0.45,0.42,0.37,0.45,0.78,1.0,1.02,1.73,1.54
h_0,0.02,0.01,0.02,0.02,0.02,0.03,0.25,0.45,0.38,0.38,0.49,0.7,0.95,1.0,1.79,1.52
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.2,0.24,0.23,0.31,0.54,0.59,0.56,1.0,1.01
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.25,0.22,0.22,0.35,0.27,0.63,0.65,0.96,1.0
