,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,9915.05,1956.31,1217.4,2031.62,3112.47,16826.29,1558324.4,2306946.28,3985629.64,6234950.08,2450082.43,13190179.01,48256405.49,38985813.42,33812676.08,159628505.73
e_1,1065.37,10678.36,1091.66,2174.55,4394.02,11702.05,1232329.68,2666691.12,9475644.5,7305654.03,10017298.97,12025426.17,57952705.05,41207363.01,14479409.13,186805028.89
d_1,1143.05,1015.38,12114.3,1995.55,3268.86,14596.62,1563687.57,2671106.74,1342267.38,12769722.55,12260283.18,11536548.75,60674188.28,41758384.25,52867756.06,190534900.48
c_1,1001.33,1082.39,1172.67,24403.66,7655.74,13118.0,1388940.55,2567992.9,4383672.08,621818.95,12186937.21,8320242.65,46878209.32,42722269.54,44962375.72,171822307.6
b_1,1054.14,1181.2,1229.83,2078.7,50480.37,32792.41,1760092.77,2332417.39,6331027.83,4616745.85,7748923.57,2310610.62,57105118.38,24094506.31,41321924.27,142737485.59
a_1,1327.08,908.04,1346.66,1987.71,3897.53,311097.48,1890029.67,2209134.82,3088152.62,6403176.88,8776595.81,11296539.32,70843053.58,10768467.07,48932723.43,192066424.61
h_1,2620.65,1567.27,2206.51,3853.61,5872.55,33093.06,10594413.3,5358519.04,8727325.5,8550861.85,15400649.88,17879115.25,34295448.13,68235076.98,83965882.37,405313243.03
g_1,1883.0,1689.44,2832.78,3334.53,5691.96,34019.37,2533713.55,19451057.24,6280128.95,9907977.14,22058878.17,18532734.13,82664670.09,81907836.07,83554060.61,105032638.2
d_0,1594.18,2020.15,535.96,7910.88,6862.4,32574.5,2874834.77,4420043.44,22404612.78,9050562.91,18922920.94,19305952.26,76254140.11,84783104.63,62597319.49,330492600.4
c_0,2196.23,1964.03,2780.68,1482.76,6186.98,17864.69,3102406.51,4166144.71,6673172.29,33122886.15,17438036.16,46234822.61,91971637.97,114016260.11,91571192.77,418927359.1
f_0,725.69,1773.84,3087.21,4800.46,7020.99,23484.96,3381094.31,4389181.39,8521726.03,14967107.6,55345514.62,17917745.77,113295741.98,57363789.05,166995490.37,517534647.7
b_0,1937.28,1604.4,2764.23,4807.82,1833.55,23206.52,2592582.36,4237634.23,9013150.84,11400364.26,19799472.43,68957554.18,114172774.41,171670634.05,89813320.53,462459522.38
h_0,2754.91,1779.86,2220.96,3864.83,5327.49,28324.96,1103528.06,6213633.96,8615824.49,10653541.39,13392238.69,23233554.29,40892966.1,67023803.43,69172885.73,469554889.18
a_0,2057.16,1741.2,2887.81,4339.11,7865.47,,2171392.23,3345547.47,7349171.4,9860044.67,18162175.91,18072909.1,99622529.37,314206219.13,104567230.15,483965780.92
e_0,2171.86,692.9,2069.06,4467.37,7366.05,37889.68,3299278.61,4260310.78,11321642.88,13165690.83,19501283.49,23341443.02,120319318.31,74490185.67,327394431.86,254195805.49
g_0,1301.29,1889.31,3582.04,3852.48,6469.16,26512.78,2799999.1,2399041.71,5460670.22,12136546.08,23031602.53,25067002.8,70859371.85,64759485.74,91038684.18,
