,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.1,1.75,3.47,3.14,3.54,2.77,0.9,0.66,0.6,1.01,0.59,0.77,0.47,0.58,0.96,0.51
f_1,3.02,1.1,3.05,2.83,2.69,2.4,0.63,0.68,0.64,1.13,0.68,0.92,0.35,0.62,0.59,0.51
c_1,2.45,3.34,1.11,4.42,3.19,2.84,1.02,0.38,0.91,0.97,0.61,0.62,0.44,0.66,0.65,0.48
d_1,4.1,3.58,3.33,1.09,3.51,2.98,0.81,1.06,0.54,0.59,0.67,0.71,0.44,0.62,0.54,0.27
b_1,4.4,4.61,2.25,4.7,1.12,4.03,1.28,0.91,1.3,1.14,1.45,0.75,0.56,0.89,0.74,0.63
a_1,5.75,6.08,5.61,5.66,2.63,1.14,1.66,1.26,1.11,1.63,1.46,1.04,0.91,1.68,0.91,0.88
h_1,11.76,13.29,11.9,11.73,12.02,10.91,1.64,2.67,2.55,3.29,2.21,2.13,2.23,2.1,2.03,1.75
d_0,8.33,14.12,14.52,20.85,16.48,14.48,4.73,2.01,2.76,4.3,3.0,2.85,2.04,2.59,2.77,2.58
c_0,16.43,17.85,21.74,8.91,16.18,12.37,4.16,4.01,1.99,4.3,3.1,2.87,2.24,2.88,2.86,2.01
g_1,16.43,18.12,16.35,14.58,14.99,13.98,3.02,3.06,3.15,1.63,3.08,2.79,1.79,2.54,2.98,2.87
b_0,14.72,15.33,22.92,12.34,27.23,14.58,4.59,3.24,1.88,4.42,1.97,3.26,2.39,2.82,2.67,2.45
f_0,15.93,31.19,19.82,17.43,18.66,19.07,5.16,3.54,3.52,3.11,3.57,2.04,2.74,2.57,2.93,1.63
h_0,22.3,24.24,21.46,23.04,23.62,20.83,10.39,4.48,4.96,6.8,4.65,4.81,4.27,4.2,4.28,3.03
a_0,24.21,28.7,24.59,20.72,31.77,40.82,7.67,4.75,4.57,5.96,2.86,4.81,3.41,2.3,3.78,3.33
e_0,34.72,33.21,26.53,23.71,22.43,25.84,6.75,5.07,5.47,6.65,6.04,2.9,3.59,6.03,2.52,3.33
g_0,30.16,32.61,30.35,24.05,29.66,26.51,6.53,6.49,5.66,9.03,5.16,5.83,3.12,5.08,5.82,4.62
