,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.52,0.92,1.2,0.79,0.85,0.69,0.9,1.03,0.99,0.95,1.02,0.61,0.85,1.0,0.71,1.02
c_1,0.93,1.55,0.79,1.39,0.95,0.7,0.86,0.94,0.63,0.96,0.66,0.89,0.78,1.05,0.82,1.01
e_1,0.93,1.13,1.56,0.91,0.72,0.66,1.13,1.74,1.01,0.92,1.05,1.05,0.89,1.18,0.62,1.1
b_1,0.99,0.79,0.86,1.57,0.91,1.26,1.11,0.95,1.05,1.01,0.8,0.98,0.77,1.04,0.97,0.97
d_1,0.93,0.71,1.0,0.85,1.6,0.8,1.01,0.93,1.65,0.84,1.27,1.22,1.07,1.18,0.97,1.03
a_1,1.08,1.01,1.07,0.75,1.02,1.74,1.16,1.13,1.07,1.02,1.19,1.12,0.73,1.15,1.01,1.16
h_1,1.42,1.35,1.05,1.04,1.13,0.83,1.86,1.28,1.22,1.48,1.21,1.13,1.1,1.24,0.97,1.52
d_0,1.29,1.8,0.94,1.26,0.87,0.76,1.31,1.69,0.97,1.14,1.01,1.2,1.07,1.52,1.31,1.26
c_0,1.27,1.19,1.2,0.96,1.05,0.98,1.43,1.61,1.82,1.2,2.13,1.41,1.64,1.61,1.33,1.34
g_1,1.16,1.17,1.08,1.05,1.66,0.82,1.03,1.2,1.43,1.91,1.26,1.64,1.17,1.35,1.11,1.17
b_0,1.38,1.47,1.15,0.93,1.15,0.83,1.43,1.65,1.3,1.26,1.81,1.28,2.25,1.53,1.21,1.45
f_0,1.39,1.39,1.09,1.21,1.09,1.03,1.47,1.59,1.49,1.07,1.38,1.82,1.37,1.56,1.91,1.26
a_0,1.54,1.4,1.32,1.22,1.11,0.92,1.48,1.66,1.21,1.44,1.24,1.31,1.89,1.79,1.27,1.35
h_0,1.67,1.29,1.12,1.23,1.24,0.99,1.08,1.48,1.25,1.54,1.37,1.23,1.28,1.3,1.29,1.62
e_0,1.64,1.27,0.99,1.21,1.32,1.05,1.64,1.26,1.45,1.32,1.42,1.18,1.39,1.64,1.88,1.54
g_0,1.22,1.24,1.06,1.2,1.66,1.13,1.46,1.53,1.56,1.09,1.46,1.93,1.33,1.58,1.56,1.36
