,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,95.86,92.51,104.48,128.5,157.07,398.53,9900.09,22184.51,23613.49,32532.13,51857.35,49050.69,157450.07,136364.78,179289.58,289941.58
e_1,65.59,98.75,113.91,115.57,163.73,423.97,11069.51,31460.15,28474.18,34780.09,56670.52,70132.1,181645.69,152473.28,178924.2,322453.56
c_1,57.25,54.57,132.5,136.59,221.81,423.85,9140.9,15040.74,21938.26,21936.05,37780.94,50762.02,127212.77,140769.36,134741.08,269713.33
d_1,55.39,56.81,64.96,177.21,121.73,303.34,9267.0,13998.24,18100.82,43712.88,51192.85,49947.94,139173.77,138151.62,157932.16,238711.18
b_1,48.73,48.26,64.55,106.32,205.17,562.98,7634.15,14496.94,16555.17,28828.89,34098.84,45532.74,129493.0,130964.78,101715.99,239451.16
a_1,39.13,36.18,51.36,78.53,77.08,457.83,6182.01,11662.17,14200.87,18387.34,35205.52,35296.99,110410.32,98880.97,90136.02,198419.87
h_1,18.04,15.65,24.29,31.82,40.63,97.82,3301.67,4570.61,6985.33,8117.11,12044.95,15056.35,32915.42,43367.08,40495.64,85528.62
d_0,13.38,11.3,29.1,23.34,36.7,77.85,2234.16,4853.82,5513.76,5454.45,9870.26,10814.19,34203.69,37997.3,34820.16,62920.86
g_1,11.72,10.0,17.4,34.41,32.44,75.78,1838.36,3145.71,6451.44,6515.11,9347.08,14503.39,28099.0,35204.6,28674.75,50717.97
c_0,12.6,11.82,17.02,21.08,22.6,77.29,1832.83,3774.61,4436.93,7219.68,14924.55,11396.79,28389.84,27597.7,37797.03,52788.5
b_0,10.81,10.3,16.29,18.88,22.49,50.85,1675.54,3180.87,3957.59,4488.13,10110.37,8905.71,24079.59,25376.68,42442.65,46782.9
f_0,8.67,7.49,16.24,20.35,24.11,64.32,1520.29,3046.22,3483.95,4752.58,7872.47,11321.65,24811.11,39492.16,21192.31,41978.37
h_0,8.42,7.27,11.82,14.24,19.17,40.5,1093.92,2073.02,3167.64,3643.87,5987.71,6168.71,15200.24,19018.61,15622.4,39697.35
e_0,7.5,5.68,11.73,13.45,18.33,47.67,1186.74,1766.21,2507.77,3470.88,5249.63,5541.02,16928.33,23869.82,17591.68,33505.07
a_0,7.35,6.8,10.84,12.72,18.09,38.45,1159.42,2169.27,3005.51,3087.73,4902.52,6363.49,19398.59,18164.22,24490.07,33122.12
g_0,5.31,5.42,9.18,14.8,15.27,36.91,923.66,1728.57,2161.09,3152.2,4727.35,7157.87,13358.82,17157.96,14274.96,26475.59
