,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.22,0.06,0.02,0.03,0.02,0.02,0.05,0.07,0.05,0.05,0.05,,0.07,0.05,0.07,0.06
e_1,0.03,2.24,0.02,0.03,0.02,0.02,0.06,0.12,0.04,0.07,0.04,0.07,0.06,0.04,0.07,
d_1,0.03,0.03,2.31,0.03,0.03,0.03,0.05,,0.04,0.13,0.05,0.04,0.1,0.04,0.06,0.04
c_1,0.03,0.02,0.03,2.37,0.05,0.03,0.05,0.06,0.06,,0.04,0.07,0.1,0.05,0.07,
b_1,0.02,0.03,0.03,0.04,2.55,,0.06,0.06,0.06,0.05,,0.06,0.06,,0.08,0.05
a_1,0.03,0.03,0.03,0.03,,3.11,0.06,0.07,0.05,0.07,0.06,0.05,0.08,,0.05,
h_1,0.18,0.1,0.1,0.11,0.09,0.08,2.54,0.28,0.24,0.23,0.18,0.15,,0.18,0.32,0.23
d_0,0.16,0.21,,0.26,0.09,0.07,0.38,1.97,0.22,0.32,0.25,0.23,0.42,0.2,0.35,0.16
g_1,0.12,0.06,0.19,0.07,0.1,0.06,0.24,0.17,3.01,0.19,0.28,0.46,0.3,,,
c_0,0.14,0.15,0.17,,0.1,0.09,0.29,0.27,0.21,2.03,0.59,0.31,0.38,0.31,0.33,0.2
b_0,0.09,0.14,0.13,0.13,,0.1,0.36,0.4,0.23,0.29,2.12,0.32,0.36,0.53,0.34,0.28
f_0,,0.14,0.16,0.12,0.14,0.1,0.3,0.35,0.23,0.45,0.36,2.05,0.48,0.31,0.24,0.4
h_0,0.35,0.25,0.21,0.2,0.21,0.12,,0.33,0.47,0.47,0.47,0.28,,0.31,0.92,0.31
a_0,0.12,0.13,0.11,0.12,,,0.25,0.37,,0.32,0.28,0.36,0.45,2.62,0.39,
g_0,0.18,0.17,0.34,0.32,0.23,0.15,0.31,0.39,,0.46,0.36,0.66,0.66,0.28,,
e_0,0.14,,0.17,,0.14,,0.47,0.33,,0.22,0.44,0.29,0.38,,,2.87
