,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,0.95,1.06,0.89,0.77,0.52,0.45,0.55,0.35,0.46,0.37,0.35,0.35,0.4,0.33
f_1,1.27,1.0,0.83,0.94,0.78,0.74,0.39,0.46,0.42,0.38,0.37,0.36,0.29,0.29,0.26,0.35
d_1,1.04,1.19,1.0,0.96,0.82,0.65,0.5,0.37,0.42,0.53,0.35,0.47,0.35,0.35,0.31,0.25
c_1,0.94,1.06,1.04,1.0,1.37,0.62,0.5,0.5,0.31,0.37,0.4,0.33,0.36,0.31,0.35,0.31
b_1,1.09,1.29,1.22,0.73,1.0,1.23,0.53,0.57,0.49,0.61,0.47,0.41,0.42,0.35,0.36,0.38
a_1,1.32,1.35,1.52,1.61,0.82,1.0,0.81,0.62,0.67,0.59,0.56,0.59,0.54,0.41,0.56,0.46
h_1,1.97,2.56,1.99,1.96,1.74,1.27,1.0,1.16,0.91,0.81,0.85,0.8,0.84,0.63,0.63,0.71
g_1,2.22,2.25,2.74,1.94,1.78,1.58,0.85,1.0,1.02,1.0,1.03,0.8,0.63,0.75,0.74,0.78
d_0,1.8,2.37,2.51,3.17,2.02,1.44,1.14,0.94,1.0,0.8,0.82,0.89,0.98,0.75,0.72,0.74
c_0,2.74,2.52,1.9,2.75,1.55,1.7,1.24,1.04,1.28,1.0,1.1,1.34,0.85,0.73,0.69,0.82
f_0,2.2,2.69,2.66,2.45,2.18,1.79,1.2,0.96,1.22,0.95,1.0,1.1,0.97,0.78,1.3,0.64
b_0,2.76,2.83,2.13,3.04,2.4,1.73,1.14,1.27,1.16,0.77,0.94,1.0,1.01,1.22,0.64,0.75
h_0,2.81,3.5,3.0,2.68,2.49,1.86,1.21,1.58,1.03,1.22,1.03,0.99,1.0,0.8,0.8,0.97
a_0,3.02,3.37,2.82,2.91,3.06,2.54,1.65,1.3,1.36,1.31,1.22,0.87,1.23,1.0,1.04,0.83
e_0,2.71,3.91,3.04,2.94,2.76,1.94,1.55,1.35,1.4,1.44,0.8,1.48,1.22,1.02,1.0,0.91
g_0,3.02,2.9,4.19,3.24,2.72,2.15,1.38,1.35,1.32,1.22,1.6,1.28,1.06,1.26,1.16,1.0
