,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.95,0.85,0.52,0.48,0.48,0.29,0.32,0.29,0.31,0.34,0.27,0.24,0.29,0.25,0.24,0.16
e_1,0.54,0.95,0.53,0.66,0.46,0.38,0.4,0.31,0.33,0.53,0.33,0.33,0.31,0.25,0.3,0.2
d_1,0.66,0.55,0.95,0.42,0.46,0.4,0.37,0.33,0.55,0.3,0.36,0.3,0.32,0.23,0.26,0.22
c_1,0.61,0.48,0.61,0.95,0.8,0.35,0.36,0.3,0.25,0.27,0.24,0.32,0.3,0.2,0.29,0.23
b_1,0.6,0.6,0.61,0.47,0.95,0.65,0.43,0.34,0.39,0.35,0.27,0.3,0.36,0.2,0.28,0.23
a_1,0.81,0.64,0.69,0.65,0.46,0.94,0.44,0.4,0.37,0.43,0.44,0.34,0.38,0.24,0.32,0.31
h_1,1.09,0.72,0.98,0.77,0.62,0.51,0.78,0.62,0.52,0.48,0.54,0.42,0.4,0.36,0.52,0.37
g_1,0.84,0.82,1.18,0.82,0.74,0.53,0.51,0.78,0.57,0.42,0.52,0.65,0.42,0.38,0.38,0.36
c_0,1.03,0.87,0.83,0.8,0.68,0.67,0.63,0.56,0.72,0.59,0.84,0.57,0.54,0.48,0.52,0.39
d_0,0.91,0.77,0.79,1.39,0.82,0.57,0.56,0.6,0.4,0.69,0.5,0.48,0.44,0.36,0.44,0.42
b_0,1.1,0.85,0.94,0.96,0.76,0.53,0.64,0.59,0.52,0.57,0.71,0.54,0.56,0.71,0.53,0.42
f_0,0.94,0.77,0.98,0.94,0.86,0.69,0.75,0.54,0.59,0.59,0.59,0.7,0.54,0.43,0.47,0.7
h_0,1.26,0.98,1.07,0.89,0.81,0.65,0.59,0.76,0.6,0.61,0.54,0.57,0.46,0.47,0.61,0.33
a_0,1.08,0.96,1.24,0.96,0.93,0.51,0.75,0.66,0.62,0.59,0.53,0.57,0.6,0.67,0.58,0.44
g_0,1.1,0.88,1.4,0.95,0.85,0.72,0.7,0.62,0.63,0.56,0.59,0.74,0.54,0.46,0.44,0.52
e_0,1.28,0.77,1.12,1.08,0.89,0.67,0.71,0.67,0.7,0.52,0.59,0.5,0.65,0.51,0.5,0.66
