,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,102.59,63.67,79.42,130.54,149.7,305.26,12168.32,24638.08,22167.33,27951.09,39958.45,48289.1,117132.36,132833.23,131249.5,187900.41
f_1,88.25,110.53,84.61,97.36,113.61,320.01,9993.25,15889.74,19856.15,28001.6,36103.76,34797.16,89263.55,97572.96,117137.46,168948.82
d_1,54.31,73.2,142.98,77.64,98.29,313.37,10610.98,12504.47,16561.12,39543.22,40752.29,37232.34,105384.61,99517.16,141525.45,154784.14
c_1,44.29,53.44,78.34,158.8,176.47,302.62,9309.73,11854.52,18246.45,14561.7,27243.05,36504.9,92258.58,83169.95,125186.29,157119.8
b_1,39.41,51.88,78.14,75.7,190.22,509.16,9312.41,11730.28,17549.91,23800.24,23045.23,37682.78,83891.45,71485.47,116588.87,167788.77
a_1,38.58,41.34,55.39,61.54,56.01,437.17,7494.52,9774.19,13595.03,15368.19,21567.56,27066.82,67389.54,47290.53,102453.75,120485.27
h_1,13.96,20.53,22.84,23.17,29.87,72.22,3759.71,3504.11,6080.36,6293.49,8178.58,10029.04,20412.73,22545.25,33130.89,52367.35
d_0,10.64,14.45,16.46,35.98,32.37,69.8,2375.52,4356.02,4392.85,4119.39,7515.23,9256.8,25221.99,21605.32,32719.5,43367.51
g_1,10.25,12.27,24.25,17.15,23.0,61.96,1967.03,2553.85,6447.03,5632.37,6377.63,10839.44,19014.68,20022.38,33091.58,31448.28
c_0,10.86,13.82,16.29,19.27,18.06,60.72,2402.12,3621.3,3845.88,6656.14,10575.15,8137.33,21384.95,23718.56,29386.74,39914.72
b_0,10.08,12.3,14.97,18.51,17.96,48.11,2096.94,2716.06,3986.08,4303.94,8499.28,6604.72,20264.69,28409.74,27725.26,35675.55
f_0,8.33,8.75,14.42,17.14,21.96,60.93,1992.67,2730.7,3317.45,4481.93,6026.2,9770.72,19224.23,15901.59,41563.05,28591.97
h_0,7.59,10.54,11.48,13.04,16.55,43.17,1141.41,1884.95,3138.47,3199.18,3946.56,4701.36,11088.74,10447.58,16671.98,28168.34
a_0,7.24,8.35,10.89,12.86,15.63,32.31,1530.48,2087.27,2316.42,2983.27,4274.14,5541.51,15323.66,18248.4,18718.13,21926.71
e_0,5.84,8.56,10.44,11.24,14.97,31.96,1257.45,1657.56,2208.38,3065.86,3657.67,3981.38,13017.24,10256.14,22845.58,23177.83
g_0,6.02,7.03,13.09,10.72,12.32,34.22,1047.52,1429.87,1715.16,2878.38,3739.2,5699.99,9956.8,11369.03,15052.54,17093.59
