,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.28,1.09,1.37,1.61,3.23,16.85,33.48,37.29,33.3,35.18,47.5,80.64,99.5,122.82,128.45
e_1,0.78,1.0,1.06,1.28,1.52,3.83,17.97,46.73,30.36,31.74,40.05,52.42,83.22,76.66,135.22,141.64
d_1,0.92,0.95,1.0,0.91,1.46,3.08,16.92,22.1,20.26,44.55,33.14,35.8,60.4,102.5,80.85,106.33
c_1,0.73,0.78,1.1,1.0,1.61,2.88,13.98,14.77,30.58,19.36,28.05,39.67,66.45,80.03,75.88,85.21
b_1,0.62,0.66,0.68,0.62,1.0,4.12,13.56,20.98,19.16,21.82,22.11,27.77,44.39,50.98,80.21,63.48
a_1,0.31,0.26,0.32,0.35,0.24,1.0,9.06,8.57,13.07,7.66,13.84,11.59,27.23,26.4,28.1,32.19
h_1,0.06,0.05,0.06,0.07,0.07,0.11,1.0,1.23,2.0,1.71,1.82,2.03,3.85,4.2,6.44,6.46
d_0,0.03,0.02,0.05,0.07,0.05,0.12,0.8,1.0,1.08,1.12,1.45,1.53,2.56,2.7,4.47,5.06
g_1,0.03,0.03,0.05,0.03,0.05,0.08,0.49,0.91,1.0,1.07,1.25,1.77,2.46,3.06,3.9,3.85
c_0,0.03,0.03,0.02,0.05,0.05,0.12,0.6,0.85,0.95,1.0,1.59,1.38,2.81,2.86,3.94,4.22
b_0,0.03,0.02,0.03,0.04,0.04,0.08,0.56,0.69,0.78,0.63,1.0,1.05,2.12,3.68,2.84,2.9
f_0,0.02,0.02,0.03,0.03,0.04,0.09,0.52,0.64,0.56,0.72,0.95,1.0,1.79,2.31,2.06,3.9
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.26,0.38,0.41,0.35,0.5,0.53,1.0,1.14,1.53,1.29
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.25,0.34,0.34,0.34,0.29,0.47,0.84,1.0,1.59,1.44
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.23,,0.26,0.37,0.49,0.63,0.69,1.0,0.92
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.22,0.27,0.26,0.36,0.26,0.76,0.74,1.07,1.0
