,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.51,1.28,0.81,0.93,0.86,0.66,0.9,1.04,0.92,0.9,0.96,0.66,0.87,0.7,0.66,0.95
e_1,0.93,1.52,0.8,1.03,0.77,0.72,1.12,1.69,0.93,0.98,0.94,1.05,1.12,0.93,0.84,1.05
d_1,1.09,0.94,1.56,0.67,0.75,0.76,1.03,0.87,0.88,1.68,1.14,0.98,1.24,1.07,0.96,0.89
c_1,0.94,0.85,0.96,1.58,1.31,0.68,1.09,0.96,0.93,0.71,0.85,0.93,1.11,0.82,0.88,0.91
b_1,0.86,0.99,1.03,0.84,1.63,1.38,1.14,1.0,0.97,0.98,0.77,0.93,1.02,0.75,0.75,1.03
a_1,1.08,1.0,1.06,1.06,0.72,1.76,1.15,1.16,1.14,1.13,1.23,1.25,1.31,0.97,1.18,1.26
h_1,1.5,1.04,1.24,1.07,1.0,0.8,1.8,1.27,1.6,1.26,1.22,1.09,1.18,1.04,1.14,1.47
d_0,1.26,0.97,0.88,1.81,1.28,0.85,1.37,1.74,1.2,1.08,1.12,1.32,1.39,1.05,1.28,1.36
g_1,1.13,1.12,1.63,1.12,1.09,0.84,1.1,1.27,1.88,1.24,1.38,1.69,1.33,1.18,1.19,1.06
c_0,1.37,1.13,1.15,1.1,1.03,0.95,1.48,1.39,1.54,1.78,2.1,1.36,1.44,1.48,1.17,1.38
b_0,1.38,1.33,1.27,1.3,0.88,0.65,1.5,1.5,1.38,1.21,1.81,1.37,1.45,2.06,1.29,1.29
f_0,1.27,1.0,1.46,1.24,1.31,0.95,1.42,1.29,1.32,1.49,1.47,1.79,1.74,1.26,2.07,1.41
h_0,1.65,1.15,1.25,1.19,1.13,1.06,1.28,1.39,1.53,1.43,1.51,1.3,1.36,1.21,1.35,1.56
a_0,1.49,1.2,1.37,1.37,1.25,0.66,1.59,1.47,1.31,1.45,1.33,1.49,1.53,1.83,1.26,1.28
e_0,1.51,0.98,1.4,1.16,1.43,0.95,1.61,1.43,1.51,1.44,1.6,1.27,1.47,1.22,1.88,1.75
g_0,1.16,1.09,1.87,1.2,1.29,1.06,1.38,1.27,1.41,1.45,1.49,1.9,1.49,1.47,1.24,1.33
