,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,97.22,29.35,45.96,46.84,69.67,266.44,4939.41,9968.34,19157.78,22116.21,27677.55,23235.76,49086.03,87553.87,69613.71,149378.34
f_1,45.08,107.22,47.37,52.44,57.07,240.61,3978.12,7913.26,8570.22,19738.95,14865.23,27697.33,42825.44,65043.0,64572.34,127814.0
c_1,30.02,30.82,133.76,45.58,73.74,226.62,4405.52,7410.71,7187.1,8671.26,24481.01,21448.41,51711.15,72619.7,66376.37,116303.32
d_1,29.23,28.89,33.68,148.97,46.08,242.47,4364.28,7654.72,4027.98,29261.07,26038.94,27026.78,52946.93,57718.1,71189.81,110072.13
b_1,21.76,28.32,34.24,46.02,163.74,342.79,4132.5,6860.77,9388.92,20222.16,22333.63,14391.36,31082.67,58614.11,65600.93,145257.57
a_1,13.65,20.85,25.34,23.16,25.41,588.55,2710.83,3941.58,5033.87,13174.25,11065.84,13002.07,7781.5,38012.19,56076.27,50336.85
h_1,9.6,14.86,14.23,15.22,16.92,73.95,2857.27,3415.8,3180.0,7263.51,6288.01,8540.69,14960.17,11309.36,25985.11,46463.41
g_1,6.57,7.99,12.29,19.94,12.35,64.07,1003.69,4802.2,2292.26,6150.74,8874.78,7009.35,11370.13,16452.07,22753.85,24375.71
d_0,6.01,11.23,19.73,6.87,13.95,64.98,1077.0,2026.68,4235.03,5047.3,5321.34,5846.6,11882.2,18676.51,17797.45,45089.84
c_0,6.03,8.49,6.77,9.74,10.25,44.83,869.82,1896.58,1764.64,7994.17,5037.88,9242.73,10761.2,15129.77,16453.18,31758.25
f_0,6.11,2.97,9.71,8.7,9.91,56.89,1046.81,1507.54,2180.0,4528.35,8923.39,6298.55,12705.06,15067.74,29513.25,27172.68
b_0,6.36,6.88,10.39,11.15,4.55,38.0,892.26,1874.12,1610.33,3587.22,4761.13,9378.75,14843.72,12501.48,15983.25,25327.55
a_0,4.86,5.85,6.02,8.13,9.17,,695.5,1500.54,1380.67,3739.11,4139.29,3492.25,15543.53,11118.41,16092.54,21251.11
h_0,3.94,7.17,5.54,8.67,7.37,30.14,369.54,1398.95,1366.06,3369.03,3123.44,3543.08,8393.64,6237.16,10654.65,23110.93
e_0,1.57,5.96,5.83,7.65,7.77,34.78,656.24,1102.81,1172.5,3487.6,2789.75,3693.64,4795.06,10363.56,23438.06,15569.55
g_0,3.34,4.51,5.86,8.06,4.64,31.9,539.84,519.37,932.2,2041.74,3752.76,2868.89,5532.78,7051.74,11868.07,10196.2
