,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.42,2.27,3.16,3.31,3.9,3.62,1.63,2.59,1.82,1.58,1.48,1.57,1.78,1.41,,1.48
f_1,5.49,0.42,3.96,4.05,3.86,3.31,1.44,1.87,1.41,1.51,,1.87,1.35,0.96,1.28,1.2
c_1,4.53,3.22,0.4,4.27,3.68,3.12,2.15,1.93,1.01,,1.81,1.43,1.95,1.3,1.48,1.15
d_1,3.99,3.32,3.58,0.39,3.53,4.28,2.09,1.29,,1.52,2.17,1.42,1.66,1.18,1.74,0.93
b_1,3.1,3.13,2.86,3.78,0.38,3.91,2.05,2.09,1.42,1.79,1.86,,,1.52,1.23,1.68
a_1,4.26,3.31,3.57,3.74,2.47,0.3,2.0,,1.74,2.07,1.26,1.63,,1.41,,
h_1,1.86,2.14,1.73,1.73,1.58,1.52,0.27,1.11,0.93,0.96,0.61,0.69,0.87,,0.81,0.61
g_1,1.6,1.93,1.8,1.71,2.0,,0.72,0.24,1.04,0.86,0.93,0.66,1.02,0.59,0.8,
d_0,0.9,1.86,1.92,,1.57,1.65,0.73,0.95,0.29,0.8,0.61,1.02,0.88,0.57,0.8,0.68
c_0,1.75,1.86,,1.32,1.43,1.31,0.69,0.69,0.67,0.27,0.74,0.94,0.53,0.57,0.63,0.89
f_0,1.57,,1.37,1.14,1.41,2.17,1.1,0.62,0.9,0.63,0.26,0.7,0.7,0.87,0.84,0.42
b_0,1.82,1.35,1.64,1.46,,1.76,0.93,0.87,0.82,0.4,0.74,0.25,1.09,0.61,0.86,0.52
a_0,1.7,2.15,1.35,1.35,,,0.97,0.83,0.83,0.8,0.6,0.5,0.22,0.48,,0.67
h_0,1.17,1.27,1.16,1.43,1.34,1.25,,0.71,0.54,0.53,0.5,0.71,0.51,,0.55,0.54
e_0,,2.13,2.0,1.41,1.85,,0.77,0.72,0.71,0.76,0.51,0.61,,0.79,0.21,0.65
g_0,1.42,1.44,1.38,1.57,1.04,,0.64,,0.48,0.51,0.68,0.55,0.5,0.42,0.65,
