,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.95,0.73,0.42,0.38,0.39,0.24,0.26,0.26,0.26,0.28,0.23,0.19,0.24,0.21,0.2,0.13
e_1,0.45,0.94,0.45,0.54,0.4,0.32,0.32,0.25,0.3,0.46,0.26,0.27,0.27,0.2,0.24,0.14
d_1,0.57,0.44,0.95,0.37,0.38,0.32,0.31,0.28,0.47,0.23,0.3,0.25,0.26,0.19,0.22,0.19
c_1,0.52,0.41,0.51,0.95,0.65,0.26,0.28,0.23,0.16,0.23,0.21,0.26,0.21,0.17,0.23,0.18
b_1,0.48,0.5,0.51,0.39,0.94,0.52,0.37,0.28,0.33,0.28,0.22,0.25,0.29,0.16,0.23,0.19
a_1,0.69,0.51,0.57,0.53,0.38,0.93,0.36,0.32,0.29,0.36,0.37,0.3,0.34,0.19,0.25,0.26
h_1,0.97,0.63,0.83,0.7,0.54,0.46,0.76,0.52,0.48,0.42,0.46,0.35,0.34,0.3,0.47,0.31
g_1,0.64,0.75,1.07,0.73,0.64,0.46,0.45,0.76,0.48,0.36,0.45,0.56,0.37,0.32,0.3,0.31
c_0,0.86,0.76,0.72,0.58,0.59,0.61,0.54,0.5,0.67,0.52,0.75,0.52,0.46,0.4,0.42,0.35
d_0,0.76,0.68,0.6,1.31,0.73,0.46,0.5,0.54,0.38,0.64,0.45,0.42,0.39,0.33,0.37,0.37
b_0,0.92,0.77,0.8,0.81,0.59,0.46,0.57,0.55,0.44,0.49,0.67,0.46,0.48,0.63,0.43,0.4
f_0,0.68,0.64,0.85,0.79,0.72,0.64,0.68,0.45,0.53,0.52,0.53,0.66,0.46,0.39,0.42,0.63
h_0,1.16,0.83,0.93,0.79,0.71,0.55,0.48,0.63,0.52,0.5,0.48,0.49,0.37,0.43,0.54,0.27
a_0,0.96,0.88,1.07,0.84,0.84,0.43,0.66,0.59,0.54,0.51,0.49,0.51,0.53,0.64,0.49,0.39
g_0,0.92,0.8,1.27,0.8,0.73,0.64,0.61,0.48,0.57,0.53,0.51,0.64,0.43,0.39,0.35,0.49
e_0,1.1,0.58,1.05,0.95,0.81,0.56,0.65,0.58,0.56,0.52,0.49,0.45,0.61,0.43,0.4,0.64
