,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.69,0.6,0.68,0.75,0.63,0.28,0.3,0.39,0.28,0.3,0.33,0.2,0.26,0.26,0.29
e_1,0.5,0.41,0.65,0.75,0.64,0.65,0.41,0.38,0.38,0.34,0.28,0.38,0.29,0.33,0.46,0.31
d_1,0.75,0.73,0.39,0.66,0.6,0.59,0.33,0.44,0.25,0.34,0.28,0.25,0.26,0.27,0.27,0.18
c_1,0.63,0.57,0.9,0.38,0.74,0.59,0.37,0.2,0.36,0.34,0.29,0.3,0.26,0.28,0.32,0.26
b_1,0.64,0.74,0.74,0.45,0.36,0.83,0.4,0.29,0.35,0.34,0.41,0.28,0.26,0.29,0.25,0.25
a_1,0.74,0.69,0.67,0.76,0.38,0.3,0.4,0.34,0.4,0.32,0.43,0.32,0.26,0.49,0.34,0.29
h_1,0.69,0.57,0.62,0.63,0.61,0.57,0.24,0.29,0.41,0.28,0.27,0.27,0.27,0.26,0.27,0.26
d_0,0.63,0.41,0.76,0.74,0.75,0.65,0.37,0.24,0.37,0.31,0.26,0.32,0.25,0.3,0.31,0.28
g_1,0.65,0.63,0.69,0.66,0.61,0.55,0.26,0.3,0.22,0.25,0.28,0.28,0.21,0.29,0.26,0.23
c_0,0.73,0.65,0.41,0.88,0.68,0.6,0.37,0.39,0.37,0.23,0.32,0.28,0.25,0.29,0.26,0.24
b_0,0.68,0.63,0.54,0.76,0.78,0.52,0.35,0.31,0.33,0.19,0.21,0.28,0.22,0.3,0.27,0.22
f_0,0.89,0.56,0.63,0.69,0.67,0.49,0.36,0.28,0.24,0.27,0.28,0.21,0.24,0.25,0.29,0.17
h_0,0.78,0.61,0.55,0.6,0.62,0.54,0.38,0.29,0.35,0.28,0.28,0.24,0.26,0.26,0.28,0.24
a_0,0.8,0.61,0.53,0.68,0.73,0.58,0.38,0.31,0.33,0.24,0.18,0.27,0.23,0.19,0.3,0.22
e_0,0.81,0.67,0.58,0.65,0.7,0.51,0.33,0.25,0.31,0.26,0.26,0.17,0.21,0.28,0.19,0.24
g_0,0.61,0.57,0.68,0.64,0.64,0.56,0.28,0.27,0.4,0.28,0.28,0.28,0.2,0.3,0.25,0.25
