,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.83,0.94,1.0,0.84,1.03,1.04,0.98,1.51,1.05,1.13,1.11,1.12,1.1,0.96,1.52
f_1,1.2,1.0,1.05,0.94,0.86,1.07,0.92,1.31,0.96,0.86,1.01,1.05,0.97,0.74,1.23,0.73
d_1,1.06,0.96,1.0,0.96,0.99,1.02,1.14,0.81,0.85,1.29,1.14,0.86,0.93,1.04,0.83,0.84
c_1,1.0,1.06,1.04,1.0,1.43,0.76,0.95,0.91,0.69,0.77,0.84,0.91,1.0,1.11,1.08,1.08
b_1,1.19,1.17,1.01,0.7,1.0,1.33,0.88,0.94,0.97,0.95,0.7,1.33,1.02,1.0,0.88,0.84
a_1,0.97,0.94,0.99,1.32,0.75,1.0,1.38,0.96,1.09,1.06,0.96,0.86,1.15,1.12,0.93,1.27
h_1,0.97,1.09,0.9,1.05,1.1,0.72,1.0,1.07,0.97,1.01,1.07,0.97,0.88,1.11,1.29,1.14
g_1,0.96,0.79,1.24,1.12,1.03,1.01,0.93,1.0,0.87,0.95,0.84,1.12,0.83,0.75,0.9,1.01
d_0,0.67,1.04,1.26,1.49,0.99,0.9,1.02,1.21,1.0,0.94,0.99,1.02,0.8,1.07,0.99,0.97
c_0,0.92,1.25,0.77,1.24,1.03,1.05,0.96,1.05,1.05,1.0,1.36,1.24,1.07,1.08,1.1,0.95
b_0,0.9,1.0,0.82,1.17,1.22,1.12,0.96,1.17,1.03,0.74,1.0,1.09,1.33,1.2,1.21,0.95
f_0,0.85,1.0,1.07,1.08,0.79,1.09,1.1,0.9,0.99,0.82,0.96,1.0,1.1,1.4,0.76,1.49
a_0,0.88,1.01,1.13,1.07,0.99,,1.14,1.19,1.22,0.88,0.78,0.94,1.0,0.77,1.07,1.31
h_0,0.84,1.4,0.97,0.94,1.01,0.88,0.89,1.34,0.93,0.97,0.87,0.75,1.24,1.0,1.15,0.86
g_0,0.97,0.84,1.29,0.91,1.11,1.0,0.78,1.16,1.01,0.92,0.86,1.32,0.93,0.89,1.0,0.95
e_0,0.55,1.38,1.09,1.02,1.18,0.82,0.89,1.02,0.97,1.12,1.03,0.64,0.77,1.08,1.0,1.0
