,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.25,0.52,0.77,0.39,0.45,0.35,0.81,0.89,1.03,0.78,1.12,0.36,0.83,1.23,0.68,0.99
c_1,0.48,2.35,0.44,0.92,0.43,0.33,0.71,1.16,0.28,0.75,0.49,0.72,0.58,1.18,0.67,1.08
e_1,0.59,0.64,2.37,0.46,0.33,0.31,1.07,1.93,0.97,0.66,0.99,0.84,0.78,1.17,0.22,1.16
b_1,0.54,0.49,0.46,2.44,0.46,0.67,0.83,0.84,0.86,0.81,0.44,0.91,0.62,0.98,0.97,0.97
d_1,0.52,0.29,0.5,0.45,2.5,0.44,0.79,0.52,1.95,0.81,1.19,1.28,1.02,1.27,0.87,1.15
a_1,0.56,0.49,0.44,0.45,0.61,2.99,0.94,0.81,0.89,0.71,1.03,1.02,0.45,1.0,0.85,1.13
h_1,0.81,0.72,0.54,0.5,0.59,0.39,3.13,1.2,1.08,1.27,1.11,1.02,1.0,0.8,0.77,1.63
d_0,0.65,1.18,0.56,0.58,0.28,0.39,0.98,2.53,0.85,0.81,0.86,1.08,0.91,1.63,1.12,1.26
c_0,0.72,0.37,0.61,0.44,0.69,0.45,1.11,1.26,2.72,0.99,2.38,1.37,1.37,1.69,1.13,1.41
g_1,0.54,0.58,0.52,0.44,1.05,0.36,0.79,1.04,1.29,3.44,1.04,1.57,1.03,1.55,0.93,0.78
b_0,0.67,0.65,0.56,0.3,0.66,0.37,0.93,1.56,1.33,0.89,2.77,1.11,2.22,1.69,1.02,1.61
f_0,0.48,0.74,0.51,0.54,0.61,0.57,1.18,1.55,1.44,0.92,1.33,2.9,1.03,1.54,2.1,1.36
a_0,0.81,0.63,0.65,0.54,0.51,0.23,1.12,1.41,1.16,0.89,1.19,1.27,3.2,1.94,1.09,1.23
h_0,0.97,0.64,0.5,0.55,0.55,0.46,0.49,1.57,1.2,1.29,1.32,0.96,1.08,0.89,1.17,1.46
e_0,0.79,0.52,0.32,0.6,0.69,0.41,1.21,1.17,1.26,1.01,1.12,1.31,1.11,1.44,3.12,1.81
g_0,0.53,0.59,0.5,0.53,0.99,0.48,1.19,1.29,1.17,0.48,1.04,1.9,0.98,1.65,1.39,0.81
