,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.67,8.9,5.14,6.5,5.44,4.73,2.65,1.58,2.59,,2.17,1.78,1.8,1.28,1.5,1.28
e_1,4.76,0.67,3.67,5.74,4.87,4.99,3.58,3.19,2.0,2.49,2.5,1.86,1.81,1.69,2.0,
f_1,6.8,6.92,0.66,5.85,4.47,5.39,2.47,2.04,2.23,1.93,2.18,,1.33,1.36,1.99,2.34
c_1,6.26,5.63,5.12,0.65,7.17,4.85,3.05,2.93,,1.42,1.53,2.25,1.96,1.9,1.85,2.77
b_1,6.0,6.71,7.92,4.56,0.63,6.78,2.21,2.34,2.68,2.53,,2.48,1.64,2.01,,1.85
a_1,9.14,6.13,8.49,7.52,4.8,0.57,3.43,2.19,3.56,2.66,3.7,2.59,2.42,1.8,,
h_1,5.07,5.05,4.55,4.1,5.15,6.04,0.61,2.82,1.72,1.54,2.4,1.87,,1.45,1.47,1.39
g_1,6.23,5.25,9.91,5.01,6.19,6.55,1.46,0.58,2.0,2.39,1.98,2.47,0.92,,,
c_0,2.82,5.16,4.94,,5.07,4.03,1.71,2.51,0.71,2.18,2.23,1.37,1.4,1.28,2.03,1.91
d_0,,3.22,4.64,5.45,4.28,5.09,2.56,2.21,1.83,0.69,1.35,1.76,1.39,1.53,2.37,1.47
b_0,4.77,4.61,5.43,9.03,,4.59,2.18,1.73,1.04,2.11,0.67,1.85,1.35,1.81,2.52,
f_0,6.08,5.69,,6.65,5.32,4.51,2.51,1.62,2.34,1.87,1.85,0.66,2.03,0.87,1.7,1.82
h_0,4.28,4.48,4.52,3.57,4.41,3.75,,3.29,1.59,1.61,1.78,1.33,,1.6,,1.56
g_0,4.66,4.82,6.91,4.82,4.68,4.94,1.64,,1.8,1.71,1.67,2.38,1.1,,,2.14
a_0,9.15,6.67,6.51,5.1,,,2.89,,1.89,1.83,1.17,1.89,,,0.6,
e_0,9.53,,5.86,4.4,6.78,,3.16,,1.85,2.54,,1.6,1.41,1.51,,0.59
