,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.68,0.85,0.68,0.77,0.74,0.14,0.15,0.26,0.14,0.15,0.36,0.08,0.15,0.15,0.11
e_1,0.41,0.17,0.92,0.97,0.89,0.73,0.23,0.18,0.28,0.23,0.17,0.19,0.13,0.16,0.57,0.16
c_1,0.93,0.57,0.16,0.97,0.72,0.72,0.23,0.09,0.22,0.28,0.16,0.13,0.13,0.14,0.14,0.1
d_1,0.82,1.03,0.87,0.15,0.91,0.65,0.19,0.42,0.12,0.14,0.15,0.13,0.09,0.12,0.13,0.08
b_1,0.84,0.79,0.39,0.91,0.14,0.91,0.31,0.18,0.25,0.23,0.6,0.19,0.12,0.22,0.13,0.12
a_1,0.94,0.88,0.67,0.93,0.36,0.09,0.29,0.18,0.28,0.17,0.34,0.16,0.13,0.58,0.2,0.11
h_1,0.56,0.6,0.65,0.6,0.59,0.61,0.06,0.13,0.21,0.13,0.13,0.14,0.17,0.11,0.12,0.11
d_0,0.7,0.34,0.7,0.97,0.62,0.61,0.24,0.07,0.18,0.12,0.12,0.12,0.1,0.15,0.11,0.13
g_1,0.76,0.64,0.67,0.57,0.68,0.45,0.13,0.15,0.05,0.13,0.12,0.12,0.07,0.13,0.13,0.16
c_0,0.77,0.65,1.91,0.28,0.76,0.64,0.19,0.17,0.15,0.06,0.1,0.13,0.11,0.15,0.12,0.1
b_0,0.59,0.58,0.91,0.4,1.58,0.82,0.18,0.12,0.17,0.07,0.05,0.14,0.1,0.14,0.1,0.11
f_0,1.16,0.6,0.66,0.64,0.48,0.56,0.18,0.16,0.09,0.13,0.13,0.05,0.09,0.12,0.13,0.06
h_0,0.59,0.66,0.58,0.52,0.62,0.49,0.31,0.15,0.2,0.1,0.12,0.11,0.15,0.12,0.11,0.08
a_0,0.64,0.62,0.56,0.53,0.73,1.09,0.19,0.13,0.21,0.12,0.07,0.13,0.09,0.04,0.12,0.07
e_0,0.85,1.2,0.55,0.51,0.56,0.58,0.19,0.15,0.15,0.1,0.11,0.06,0.08,0.11,0.04,0.09
g_0,0.65,0.57,0.62,0.6,0.65,0.68,0.12,0.13,0.28,0.13,0.12,0.12,0.07,0.12,0.12,0.14
