,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,13460.3,178.0,163.01,231.2,476.63,1149.87,190348.85,349573.1,998590.37,702143.32,,1948880.16,5181892.89,2933102.52,4572900.62,12891521.79
f_1,171.15,14134.41,353.44,193.23,467.17,1530.67,214840.04,294182.64,484048.51,969055.5,960458.96,,3008960.99,3126573.33,3958268.53,15021467.9
e_1,135.75,171.09,14471.06,266.92,526.24,1325.7,198801.23,307375.87,459287.58,641132.73,2242055.59,1337561.39,4863062.33,2479851.46,,10564034.36
c_1,165.31,168.36,236.94,24060.98,582.58,704.46,220085.33,340284.21,,578334.24,1445270.55,1802668.86,4656183.92,3660466.55,4157890.98,16707205.02
b_1,140.2,247.38,186.88,230.57,42304.72,2957.4,218226.13,263732.08,569218.14,,738639.64,1297335.87,5375465.59,4507659.73,,10598721.15
a_1,145.93,237.56,180.4,299.99,275.21,157589.61,238134.6,228757.74,500993.12,842374.11,961029.5,1312840.8,7417785.96,,4631201.04,8922803.67
h_1,761.84,897.72,539.32,1262.19,1635.34,4137.38,9749780.21,1893339.74,1886045.75,2827806.64,2214320.15,5731451.95,,12898984.97,15422990.36,78498549.66
g_1,989.71,587.53,508.83,1038.42,1893.56,3782.09,567161.73,20292718.23,1669997.16,2822674.51,3373617.95,8295522.56,23748069.65,14149579.08,14706752.42,
c_0,685.01,789.07,855.13,,1528.0,6473.85,943079.74,2020612.06,16095856.25,8001137.9,3326204.94,10223671.05,25673588.81,20183333.52,21577474.59,68783935.4
b_0,1088.38,857.32,797.72,1370.72,,3768.44,993608.17,1744915.26,3027636.95,27519098.78,5585164.19,9537209.06,21554776.6,30727518.33,18115801.71,54998983.84
d_0,,969.21,1184.9,3070.08,1772.59,4806.46,1029679.76,1540371.35,1989666.59,3228468.9,30225835.39,8895099.93,27549328.33,20604319.22,23779730.04,65544993.61
f_0,828.49,,826.99,1428.08,2883.1,5548.03,1039976.56,2164556.61,2031646.37,3881849.51,3711622.34,63886584.4,24064710.58,12972693.45,,69078723.7
h_0,1532.52,1316.92,1310.45,2116.86,3065.35,8163.44,,2729962.09,3951193.71,8590550.38,6990499.47,12086167.17,,22905820.84,44214470.91,120035898.8
a_0,729.31,957.46,587.99,1173.3,1719.25,,1281661.25,1810148.57,2068347.88,3061740.46,3888055.09,10778986.51,26479655.13,197178849.99,,113509639.88
e_0,850.13,811.7,,1450.58,,6339.86,921621.02,2322052.33,2422550.42,3244530.94,3877814.38,,26938108.86,,266022887.24,73030988.98
g_0,1958.86,1243.97,930.44,1547.2,3722.86,8007.83,1429586.54,,3943875.55,5498338.17,8000124.4,21076952.33,31756949.45,19972621.88,35587013.8,
