,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.12,5.41,6.22,5.67,5.64,4.22,1.19,0.92,1.01,2.96,1.18,0.85,1.18,0.7,1.01,0.55
f_1,4.64,1.13,4.69,6.06,4.85,4.62,1.17,1.89,0.97,1.11,0.98,2.33,0.87,0.56,0.79,0.9
e_1,6.01,3.08,1.13,6.58,5.98,6.55,1.92,1.54,1.27,1.29,1.51,1.23,1.2,0.77,2.42,0.9
c_1,7.18,6.01,4.38,1.13,5.6,5.46,2.02,1.85,2.49,0.6,1.16,1.27,1.17,1.05,1.26,0.75
b_1,8.38,7.33,6.64,3.19,1.13,6.69,2.09,1.98,1.48,1.67,3.1,1.27,1.23,0.97,1.52,1.15
a_1,10.79,9.45,11.46,11.7,5.09,1.14,3.24,3.53,2.43,2.11,2.52,2.24,6.09,1.7,2.1,1.55
h_1,14.45,20.37,16.53,16.03,19.69,18.55,1.75,5.4,3.21,3.9,3.36,3.29,3.57,4.86,2.95,2.36
g_1,20.88,21.6,23.73,24.1,20.98,16.88,4.47,1.82,4.17,5.98,4.35,4.45,4.4,2.31,4.03,6.54
c_0,10.85,29.95,20.89,52.54,31.81,19.94,6.94,6.1,2.33,6.22,4.68,4.45,4.7,2.83,4.4,2.93
d_0,48.9,27.84,12.17,24.1,22.62,30.23,8.51,8.46,4.62,2.33,4.6,5.3,4.6,3.15,5.3,3.42
b_0,21.9,29.21,22.45,27.63,57.9,30.23,6.83,7.47,2.95,5.32,2.28,5.05,5.91,4.49,5.86,3.89
f_0,24.45,56.57,25.36,26.49,28.11,24.34,6.83,4.56,4.93,5.32,4.52,2.42,5.11,4.8,4.84,2.58
a_0,29.26,35.29,36.51,36.42,45.95,93.7,10.59,10.97,5.82,7.22,3.64,7.13,2.59,4.44,5.3,5.01
h_0,35.0,32.4,40.51,33.04,30.16,28.39,16.69,12.54,7.58,7.66,6.52,7.04,6.09,9.6,6.34,5.81
e_0,31.87,60.41,62.68,40.57,39.12,38.24,8.68,8.56,7.34,8.16,6.23,4.15,7.67,5.04,2.65,4.41
g_0,33.06,48.16,38.63,42.17,38.6,48.05,8.11,27.0,8.44,7.3,6.16,7.04,7.81,4.64,6.56,7.32
