,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.69,0.65,0.97,0.5,0.6,0.55,0.85,0.78,0.96,0.9,1.13,0.38,0.96,1.01,0.84,0.87
c_1,0.57,2.95,0.56,1.18,0.57,0.52,0.74,1.01,0.26,0.87,0.49,0.76,0.67,0.97,0.81,0.95
e_1,0.71,0.8,2.99,0.59,0.44,0.49,1.13,1.69,0.9,0.76,1.0,0.88,0.91,0.96,0.26,1.03
b_1,0.64,0.62,0.58,3.14,0.62,1.06,0.87,0.74,0.81,0.93,0.44,0.96,0.72,0.81,1.18,0.86
d_1,0.62,0.37,0.64,0.58,3.33,0.69,0.83,0.46,1.82,0.93,1.2,1.34,1.18,1.04,1.06,1.02
a_1,0.67,0.61,0.56,0.58,0.81,4.71,0.99,0.71,0.83,0.82,1.04,1.07,0.52,0.82,1.04,1.0
h_1,0.96,0.9,0.69,0.65,0.78,0.61,3.29,1.05,1.01,1.47,1.12,1.07,1.16,0.65,0.94,1.44
d_0,0.77,1.47,0.7,0.75,0.38,0.61,1.03,2.22,0.79,0.93,0.87,1.13,1.06,1.34,1.37,1.11
c_0,0.86,0.46,0.76,0.56,0.92,0.7,1.17,1.1,2.54,1.14,2.4,1.44,1.59,1.39,1.38,1.25
g_1,0.64,0.73,0.66,0.57,1.4,0.57,0.83,0.91,1.2,3.96,1.04,1.65,1.2,1.28,1.14,0.69
b_0,0.8,0.81,0.71,0.38,0.87,0.59,0.98,1.36,1.24,1.02,2.79,1.16,2.57,1.38,1.24,1.42
f_0,0.57,0.93,0.64,0.69,0.81,0.9,1.24,1.36,1.35,1.06,1.34,3.05,1.2,1.26,2.57,1.2
a_0,0.97,0.79,0.82,0.69,0.68,0.36,1.18,1.23,1.08,1.02,1.2,1.34,3.71,1.59,1.33,1.09
h_0,1.16,0.8,0.63,0.71,0.73,0.73,0.51,1.38,1.12,1.48,1.34,1.01,1.26,0.73,1.43,1.29
e_0,0.94,0.65,0.4,0.77,0.92,0.65,1.27,1.02,1.18,1.17,1.13,1.38,1.29,1.18,3.8,1.59
g_0,0.63,0.74,0.64,0.68,1.32,0.76,1.25,1.13,1.09,0.55,1.04,1.99,1.14,1.35,1.69,0.72
