,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,11533.7,8440.74,7639.85,9291.72,11447.82,61541.34,5123589.88,22548075.87,17937820.26,26204729.93,31076329.81,45182587.35,178060884.03,297625503.33,152490918.83,541808585.97
e_1,5574.84,11551.15,6432.5,11742.47,13444.17,69332.46,5685610.17,38557060.63,19313555.77,25159700.13,45964400.66,48920458.75,200885463.86,292915427.25,176762890.95,534680292.4
d_1,6047.07,5543.6,18475.9,6931.05,11372.08,80777.27,6115785.26,17056018.09,19288093.69,50059294.58,51266292.41,56859755.88,220494410.62,307288643.63,231284399.26,606252510.45
c_1,5028.35,4423.59,7784.11,22174.26,22607.32,82655.43,4956810.21,23696422.3,17812891.99,16734091.97,49608106.06,34252693.13,189989777.23,280229739.77,233639883.51,574751842.19
b_1,5444.64,4734.86,7487.68,8223.39,35694.74,149129.44,5166355.3,20031876.88,17218714.16,22298810.59,49745874.54,31112710.65,161934110.2,285019013.46,232818247.19,565574380.07
a_1,5826.03,5818.37,8487.17,9131.33,12207.03,286771.55,5949749.6,23370166.88,19731081.8,29844509.2,49795104.16,54322580.23,177531812.82,308789497.72,201258221.18,530834645.72
h_1,6888.44,5729.29,9467.95,9725.72,13643.06,69664.65,9794465.02,21797063.8,26274873.2,29534593.04,52043723.53,50161530.02,204916337.74,252324907.01,233208518.94,813876339.72
d_0,5631.7,4883.67,7205.03,16583.96,16655.17,68084.13,5940084.41,33562790.71,19172877.87,20650203.26,43171992.16,50393759.32,207446169.07,311463557.09,241372591.9,616641683.57
g_1,5249.4,5297.63,12981.8,9146.71,12453.72,70007.08,5863953.03,21099093.3,42333390.16,30427878.45,70346562.08,52264377.03,228253451.52,321078862.59,277799923.43,542390104.7
c_0,6592.43,5670.43,9733.4,7292.39,11294.2,73069.82,6849094.28,21080115.24,22887472.82,43899472.02,54861145.48,88330311.77,311000865.46,347971442.19,259580730.37,695554228.66
f_0,4304.23,5098.41,9385.79,11368.72,15634.77,83506.27,6473064.26,24706205.45,23341420.72,30637152.2,79511413.67,59261076.15,279043580.75,307152250.23,489300446.64,634386767.99
b_0,5936.26,6128.5,9581.89,9678.61,12320.76,53640.66,6668217.56,23041847.41,20338973.96,32674589.36,53385503.8,85197499.22,459507491.93,334028213.81,246828572.73,619708165.72
a_0,6042.19,5627.86,9118.62,9220.21,13814.4,61375.7,6925807.08,24452543.65,20269941.31,34546917.34,53629672.08,55881797.56,395905761.38,367099918.25,279538867.22,707025077.55
h_0,7562.62,5638.82,9496.58,10591.69,13219.36,74215.93,4904124.4,21142846.18,23659497.14,28297460.03,45609200.0,50403856.25,197326843.75,242897006.27,240755270.69,753454128.71
e_0,5500.0,3566.92,8810.46,12643.9,17086.85,83747.27,6206534.42,23248253.32,23163892.23,29358713.93,55661840.0,53988789.61,237432884.07,366628909.13,449893433.63,676704185.22
g_0,5299.52,5176.52,12309.5,9950.77,12539.82,75979.77,6461522.96,22158613.38,15281045.38,30781614.03,83305193.96,53958584.4,238163365.79,305353158.81,318524314.63,538862860.95
