,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.56,0.54,0.46,0.68,0.51,0.57,0.91,0.89,0.94,2.13,1.11,1.06,0.98,0.91,0.5,1.1
f_1,1.13,17.03,0.55,0.51,0.41,0.45,0.76,0.68,0.87,0.72,0.95,0.37,0.89,0.75,0.62,0.71
d_1,0.49,0.63,19.5,0.36,0.41,0.48,1.16,1.04,1.98,0.32,1.14,1.15,0.92,0.99,1.02,0.98
c_1,0.5,0.5,0.36,20.56,1.46,0.35,0.68,0.82,0.27,0.96,0.73,0.89,0.87,0.9,0.95,0.82
b_1,0.39,0.59,0.49,0.55,23.78,1.45,0.71,0.8,0.74,0.7,0.32,0.72,0.76,0.7,0.92,0.75
a_1,0.48,0.44,0.69,0.68,0.41,37.52,1.03,0.75,0.81,1.0,0.75,0.92,1.44,0.32,0.94,1.18
h_1,0.62,1.06,0.79,0.68,0.63,0.59,5.28,1.45,1.05,0.84,1.17,0.87,0.58,1.26,1.11,2.05
g_1,0.45,0.49,1.73,0.49,0.58,0.64,1.19,6.88,1.16,0.73,0.89,2.18,1.3,1.12,1.27,0.63
c_0,0.73,0.78,0.89,0.35,0.45,0.72,1.15,1.13,3.13,1.09,2.71,1.33,1.43,1.47,1.38,1.39
d_0,0.62,0.63,0.23,1.99,0.77,0.6,1.04,1.01,0.83,3.34,1.05,1.25,1.09,1.34,1.43,1.28
b_0,0.75,0.8,0.74,0.62,0.27,0.5,1.19,1.04,1.07,1.38,3.64,1.41,1.63,3.45,1.7,1.28
f_0,0.42,0.43,0.88,0.91,0.57,0.65,1.23,1.38,1.25,1.5,1.46,4.13,1.66,1.56,3.69,1.07
h_0,0.59,1.31,0.79,0.57,0.53,0.61,0.59,1.44,1.2,1.25,0.92,1.28,0.79,1.32,1.26,2.05
a_0,0.74,0.59,1.03,0.67,0.64,0.35,1.11,1.06,1.33,0.88,1.09,0.97,1.45,4.27,1.0,1.31
e_0,0.31,0.67,0.78,0.91,0.74,0.6,1.17,1.31,1.06,1.24,1.6,1.47,1.43,1.55,5.31,1.43
g_0,0.66,0.66,1.32,0.61,0.64,0.67,1.31,0.62,1.15,0.98,1.36,2.18,1.11,1.41,1.23,0.74
