,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,110.9,78.27,54.23,58.46,95.3,336.33,8114.54,14588.64,17945.32,19035.09,14248.96,33234.25,61760.74,68401.95,98790.03,127467.87
e_1,50.04,111.27,73.8,59.1,89.49,381.97,7849.71,13660.69,27352.53,20178.11,26885.91,37308.79,66908.56,73131.16,101686.48,158652.36
c_1,51.16,41.42,126.98,63.64,148.08,253.45,8164.84,13881.72,13793.61,11471.78,21548.7,24558.5,69118.64,90813.98,83438.51,155909.24
d_1,55.18,45.35,48.19,134.86,91.06,266.2,7625.03,11745.34,12104.79,32901.92,22297.34,31532.67,66522.88,82534.9,78449.26,149436.59
b_1,41.3,40.51,45.63,48.56,190.05,542.83,7095.53,10383.81,12506.24,17092.49,17272.31,18170.68,49623.02,71458.63,72200.9,111935.65
a_1,28.04,29.24,39.25,36.92,35.99,560.08,4046.54,8210.68,8530.02,8402.49,13623.48,24282.96,37749.32,58304.44,32485.8,69835.21
h_1,16.23,12.44,14.69,16.64,21.69,84.42,3389.16,4810.42,4178.52,4993.93,5628.71,8309.87,12572.34,24122.85,20404.75,45816.09
g_1,9.92,9.0,11.84,20.62,20.39,70.23,1369.45,5593.76,3201.18,4407.33,7002.8,7390.43,11686.64,17044.03,20477.58,22887.86
d_0,10.34,9.46,20.34,7.88,21.14,79.54,1554.38,3113.76,4856.65,3332.37,5085.18,7302.66,14121.98,17589.23,21896.09,31313.34
c_0,11.64,9.97,10.93,12.04,13.29,73.51,1481.17,2846.29,3575.26,5979.2,4536.91,12171.5,14805.06,18100.77,21171.52,34994.73
f_0,7.51,7.75,13.13,13.71,20.4,65.99,1498.12,2254.45,3471.06,3920.42,6750.41,7346.79,13819.1,27075.9,16311.99,24155.67
b_0,8.81,8.31,10.58,12.74,9.99,41.39,1333.17,2750.92,2820.74,2963.76,3623.23,9165.38,13258.1,13660.87,27979.56,24231.69
h_0,8.97,7.07,8.7,9.53,13.58,43.4,936.81,2802.55,2375.18,2864.37,3134.88,4686.06,7833.95,12195.46,14836.17,25294.17
e_0,7.44,3.8,7.47,8.59,11.89,43.1,914.7,1969.34,2007.64,2882.27,2615.59,5554.74,9217.09,18729.49,13295.14,17963.85
a_0,6.05,5.52,8.15,9.32,10.72,30.41,1122.03,1771.5,1914.25,2456.6,2595.84,3644.28,8481.14,8945.2,19601.01,20561.03
g_0,4.91,5.01,5.82,9.32,11.25,36.96,756.28,1309.85,1628.57,2236.74,3704.58,4068.13,7399.17,11245.61,10284.64,12925.61
