,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.21,0.9,0.97,0.8,0.61,0.44,0.42,0.45,0.38,0.38,0.37,0.3,0.29,0.28,0.32
e_1,0.82,1.0,0.85,1.19,0.95,0.67,0.52,0.6,0.46,0.4,0.42,0.4,0.33,0.35,0.37,0.31
d_1,1.11,1.15,1.0,0.86,0.87,0.73,0.52,0.44,0.36,0.55,0.42,0.43,0.34,0.34,0.34,0.27
c_1,1.04,0.87,1.18,1.0,1.28,0.79,0.51,0.35,0.46,0.41,0.41,0.35,0.35,0.33,0.34,0.33
b_1,1.22,1.06,1.13,0.79,1.0,1.17,0.56,0.43,0.5,0.48,0.43,0.4,0.35,0.39,0.35,0.36
a_1,1.61,1.47,1.35,1.27,0.87,1.0,0.78,0.64,0.65,0.62,0.55,0.69,0.54,0.49,0.44,0.43
h_1,2.26,1.98,1.94,1.91,1.78,1.3,1.0,0.82,0.96,0.77,0.77,0.73,0.6,0.68,0.62,0.68
d_0,2.33,1.72,2.25,2.89,2.36,1.55,1.22,1.0,1.05,0.86,0.85,0.93,0.76,0.84,0.77,0.74
g_1,2.29,2.18,2.72,2.13,2.02,1.53,1.03,0.96,1.0,0.92,1.01,0.91,0.77,0.71,0.81,0.79
c_0,2.64,2.42,1.89,2.38,2.1,1.48,1.3,1.1,1.06,1.0,0.95,1.2,0.89,0.86,0.82,0.75
f_0,2.61,2.36,2.47,2.46,2.3,1.82,1.37,1.17,0.98,1.01,1.0,1.05,0.89,0.85,1.2,0.63
b_0,2.57,2.52,2.32,2.71,2.59,1.36,1.33,1.09,1.06,0.84,0.98,1.0,1.2,0.93,0.85,0.77
a_0,3.27,2.95,2.84,2.91,2.98,1.91,1.6,1.35,1.22,1.17,1.11,0.89,1.0,1.13,1.05,0.96
h_0,3.44,2.96,2.89,2.9,2.59,1.98,1.52,1.2,1.38,1.18,1.1,1.19,0.89,1.0,0.95,1.03
e_0,3.45,2.53,2.88,3.07,2.83,2.21,1.52,1.17,1.29,1.19,0.92,1.22,1.0,1.08,1.0,0.81
g_0,3.21,3.11,3.65,3.08,2.62,2.37,1.49,1.32,1.28,1.32,1.72,1.35,1.05,0.99,1.2,1.0
