,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.53,1.46,0.89,1.02,0.8,0.85,1.01,1.0,1.01,1.23,1.1,0.78,1.13,0.98,1.26,0.8
e_1,0.99,1.55,0.92,1.29,0.97,0.75,1.16,1.14,1.11,1.76,1.1,1.25,1.24,1.04,1.18,0.84
d_1,1.14,1.01,1.56,0.88,0.98,0.72,1.23,1.77,1.0,0.96,1.27,1.11,1.3,1.02,1.12,1.09
c_1,1.03,0.85,1.08,1.58,1.49,0.89,1.18,0.98,0.91,1.01,0.9,1.14,1.26,0.9,1.2,0.99
b_1,1.17,1.02,1.07,0.9,1.64,1.36,1.3,1.29,1.17,1.13,1.05,1.21,1.36,0.96,1.18,0.99
a_1,1.08,1.15,1.3,1.1,0.94,1.8,1.35,1.42,1.34,1.3,1.3,1.28,1.6,1.27,1.45,1.11
h_1,1.56,1.21,1.36,1.14,1.04,0.95,1.86,1.37,1.63,1.46,1.48,1.28,1.47,1.19,1.75,1.22
c_0,1.53,1.33,1.19,1.25,0.94,1.05,1.67,1.83,1.46,1.64,2.21,1.56,1.79,1.63,1.65,1.4
g_1,1.26,1.16,1.7,1.38,1.19,0.96,1.4,1.53,1.95,1.32,1.41,1.79,1.33,1.44,1.22,1.37
d_0,1.31,1.04,1.18,1.89,1.35,0.92,1.56,1.19,1.49,1.81,1.41,1.44,1.53,1.4,1.59,1.3
b_0,1.42,1.45,1.32,1.38,1.05,0.92,1.54,1.39,1.41,1.55,1.91,1.47,1.71,2.29,1.64,1.22
f_0,1.37,1.04,1.57,1.33,1.26,1.05,1.86,1.64,1.39,1.47,1.49,1.93,1.54,1.57,1.48,2.26
h_0,1.68,1.44,1.43,1.36,1.17,0.99,1.44,1.47,1.84,1.5,1.49,1.43,1.48,1.33,1.84,1.18
a_0,1.53,1.44,1.47,1.54,1.35,0.88,1.8,1.62,1.32,1.66,1.28,1.48,1.82,1.89,1.48,1.39
g_0,1.29,1.34,1.79,1.43,1.32,0.96,1.51,1.61,1.46,1.51,1.53,2.02,1.65,1.42,1.5,1.56
e_0,1.6,1.35,1.54,1.42,1.35,1.17,1.75,1.63,1.29,1.47,1.45,1.37,1.85,1.42,1.65,1.96
