,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,1.02,1.12,1.1,1.08,1.06,0.23,0.24,0.35,0.23,0.22,0.32,0.11,0.22,0.26,0.19
e_1,0.71,0.43,1.22,1.18,1.38,1.29,0.35,0.28,0.38,0.25,0.24,0.32,0.17,0.23,0.4,0.19
c_1,1.31,0.96,0.41,1.42,1.21,1.1,0.34,0.14,0.32,0.35,0.24,0.22,0.19,0.23,0.2,0.17
d_1,1.45,1.36,1.31,0.4,1.13,1.04,0.32,0.39,0.23,0.24,0.26,0.24,0.16,0.27,0.2,0.12
b_1,1.46,1.48,0.74,1.51,0.38,1.44,0.42,0.32,0.35,0.36,0.45,0.26,0.23,0.27,0.25,0.17
a_1,2.2,1.54,1.69,1.44,0.84,0.32,0.54,0.36,0.52,0.42,0.47,0.4,0.25,0.54,0.3,0.26
h_1,2.08,2.04,2.24,2.1,1.91,1.79,0.31,0.5,0.6,0.41,0.45,0.4,0.38,0.46,0.43,0.31
d_0,2.26,1.38,2.69,3.39,2.77,2.43,0.76,0.35,0.86,0.5,0.47,0.51,0.42,0.49,0.57,0.37
g_1,2.8,2.47,2.88,2.23,2.46,2.07,0.57,0.5,0.27,0.51,0.52,0.46,0.25,0.5,0.39,0.47
c_0,2.46,2.6,4.41,1.4,2.75,2.63,0.7,0.7,0.71,0.32,0.56,0.62,0.46,0.5,0.48,0.4
b_0,2.58,2.44,3.22,2.0,3.88,2.45,0.71,0.53,0.69,0.27,0.31,0.54,0.37,0.68,0.5,0.39
f_0,3.67,2.46,2.85,2.96,2.64,2.53,0.89,0.6,0.46,0.6,0.52,0.29,0.41,0.64,0.56,0.25
h_0,3.5,2.85,2.91,2.56,2.76,2.86,1.18,0.58,0.76,0.56,0.58,0.47,0.6,0.53,0.51,0.44
a_0,2.94,3.09,3.24,2.98,3.88,4.54,0.82,0.6,0.74,0.48,0.32,0.49,0.44,0.28,0.53,0.45
e_0,4.11,3.67,4.36,3.22,3.29,2.46,0.87,0.6,0.73,0.56,0.59,0.29,0.43,0.64,0.29,0.33
g_0,3.21,3.27,3.42,3.16,3.0,3.43,0.73,0.72,1.18,0.7,0.71,0.76,0.39,0.67,0.69,0.61
