,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,2.36,1.72,1.03,1.05,0.84,0.68,1.81,2.18,1.63,2.03,1.36,1.93,1.66,2.68,1.28,2.3
e_1,1.14,2.36,0.86,1.33,0.99,0.76,2.01,3.73,1.76,1.95,2.02,2.09,1.87,2.63,1.48,2.27
d_1,1.24,1.13,2.48,0.79,0.84,0.89,2.16,1.65,1.76,3.88,2.25,2.43,2.05,2.76,1.94,2.58
c_1,1.03,0.9,1.04,2.51,1.66,0.91,1.75,2.29,1.62,1.3,2.17,1.47,1.77,2.52,1.96,2.44
b_1,1.12,0.97,1.0,0.93,2.62,1.64,1.83,1.94,1.57,1.73,2.18,1.33,1.51,2.56,1.95,2.4
a_1,1.19,1.19,1.14,1.03,0.9,3.16,2.1,2.26,1.8,2.31,2.18,2.32,1.65,2.78,1.69,2.26
h_1,1.41,1.17,1.27,1.1,1.0,0.77,3.46,2.11,2.39,2.29,2.28,2.15,1.91,2.27,1.96,3.46
d_0,1.15,1.0,0.97,1.88,1.22,0.75,2.1,3.25,1.75,1.6,1.89,2.16,1.93,2.8,2.02,2.62
g_1,1.08,1.08,1.74,1.04,0.92,0.77,2.07,2.04,3.85,2.36,3.08,2.24,2.12,2.89,2.33,2.3
c_0,1.35,1.16,1.31,0.83,0.83,0.81,2.42,2.04,2.08,3.4,2.41,3.78,2.89,3.13,2.18,2.96
f_0,0.88,1.04,1.26,1.29,1.15,0.92,2.29,2.39,2.12,2.37,3.49,2.54,2.6,2.76,4.1,2.7
b_0,1.22,1.25,1.29,1.1,0.91,0.59,2.36,2.23,1.85,2.53,2.34,3.65,4.28,3.0,2.07,2.63
a_0,1.24,1.15,1.22,1.04,1.02,0.68,2.45,2.37,1.85,2.68,2.35,2.39,3.68,3.3,2.34,3.0
h_0,1.55,1.15,1.27,1.2,0.97,0.82,1.73,2.05,2.15,2.19,2.0,2.16,1.84,2.18,2.02,3.2
e_0,1.13,0.73,1.18,1.43,1.26,0.92,2.19,2.25,2.11,2.27,2.44,2.31,2.21,3.3,3.77,2.88
g_0,1.09,1.06,1.65,1.13,0.92,0.84,2.28,2.14,1.39,2.38,3.65,2.31,2.22,2.75,2.67,2.29
