,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.05,1.69,1.18,1.92,1.71,1.36,0.7,0.62,0.66,0.54,0.51,0.56,0.4,0.45,0.58,0.43
d_1,2.18,1.04,1.82,1.74,1.56,1.32,0.61,0.75,0.46,0.55,0.52,0.49,0.35,0.42,0.39,0.28
f_1,1.99,1.67,1.05,1.74,1.6,1.31,0.51,0.54,0.73,0.49,0.48,0.59,0.36,0.45,0.41,0.38
c_1,1.51,2.13,1.96,1.05,2.13,1.52,0.75,0.38,0.67,0.67,0.46,0.54,0.38,0.43,0.5,0.43
b_1,2.0,2.2,2.13,1.28,1.06,2.61,0.84,0.65,0.81,0.8,0.77,0.59,0.55,0.47,0.57,0.47
a_1,3.3,3.31,3.07,2.63,1.36,1.06,1.17,0.93,1.11,0.9,1.07,0.83,0.65,1.07,0.76,0.68
h_1,4.44,4.66,5.52,4.41,4.41,3.54,1.27,1.33,1.83,1.39,1.27,1.21,1.24,1.16,1.08,1.01
d_0,3.8,6.18,5.2,6.48,5.6,5.01,2.61,1.4,2.25,1.5,1.54,1.48,1.38,1.39,1.2,1.26
g_1,5.69,5.66,5.57,5.58,5.21,4.1,1.78,1.7,1.26,1.64,1.54,1.62,0.97,1.23,1.4,1.33
c_0,5.76,4.03,6.57,7.96,5.22,4.56,2.42,2.59,2.16,1.37,2.07,1.67,1.45,1.59,1.38,1.08
b_0,6.4,5.39,6.5,8.75,7.72,5.04,2.44,2.0,2.49,1.22,1.42,1.79,1.58,1.99,1.53,1.28
f_0,6.52,6.37,8.97,6.98,6.27,5.65,2.71,2.52,1.6,1.96,1.77,1.4,1.4,1.86,2.12,1.15
h_0,8.23,7.94,8.31,8.75,7.46,5.86,3.82,2.41,3.49,2.19,2.18,2.44,2.05,1.77,1.7,1.83
a_0,8.03,8.6,8.24,9.02,11.44,7.87,3.15,2.52,3.52,2.21,1.5,2.33,2.11,1.58,2.1,1.77
e_0,9.1,8.96,12.38,9.14,9.3,7.19,4.24,3.01,3.04,2.55,2.6,1.5,2.23,2.3,1.53,1.84
g_0,8.94,9.47,9.4,9.02,8.53,7.04,3.15,3.01,3.5,3.21,2.71,2.72,1.61,2.63,2.02,2.31
