,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.34,1.42,1.58,1.68,3.38,19.11,34.01,31.99,39.44,42.27,58.83,70.3,93.7,108.17,128.21
e_1,0.77,1.0,1.24,1.53,1.55,3.45,21.18,41.53,28.06,33.18,44.26,65.43,73.94,84.75,126.97,130.71
d_1,0.7,0.8,1.0,0.92,1.07,2.23,13.71,23.32,30.45,20.37,31.23,39.62,52.67,68.2,83.96,72.84
c_1,0.63,0.66,1.08,1.0,1.39,2.63,13.56,15.83,19.87,20.61,22.79,39.48,51.12,60.45,87.15,85.27
b_1,0.58,0.65,0.93,0.72,1.0,3.21,14.19,18.78,22.54,22.46,30.04,38.02,50.97,49.14,76.28,88.48
a_1,0.29,0.28,0.44,0.37,0.33,1.0,6.57,8.67,9.48,10.75,12.13,15.33,19.96,27.29,32.96,31.99
h_1,0.05,0.05,0.07,0.07,0.07,0.14,1.0,1.4,1.48,1.9,1.99,2.5,3.4,4.48,5.67,6.22
d_0,0.03,0.02,0.04,0.06,0.06,0.11,0.7,1.0,0.9,1.19,1.25,2.09,2.52,2.93,4.35,4.28
c_0,0.03,0.04,0.03,0.05,0.04,0.11,0.67,1.05,1.0,1.1,1.78,1.63,2.49,3.46,3.77,3.8
g_1,0.03,0.03,0.05,0.05,0.05,0.09,0.53,0.81,0.94,1.0,1.24,1.99,1.97,2.43,3.43,3.65
b_0,0.02,0.02,0.03,0.04,0.03,0.08,0.5,0.77,0.58,0.79,1.0,1.15,1.81,2.79,2.6,2.59
f_0,0.02,0.02,0.03,0.03,0.03,0.06,0.4,0.5,0.61,0.5,0.8,1.0,1.26,1.78,3.13,1.91
h_0,0.01,0.01,0.02,0.02,0.02,0.05,0.29,0.38,0.39,0.52,0.58,0.78,0.99,1.07,1.47,1.88
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.22,0.31,0.3,0.4,0.38,0.56,0.97,0.99,1.11,1.32
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.22,0.26,0.29,0.37,0.3,0.68,0.81,1.0,0.99
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.23,0.26,0.27,0.38,0.53,0.52,0.78,1.04,1.0
